Nombre,Fecha,Texto
Dennek,"27/02/2021, 00:44","El prisionero, visiblemente maltratado mira de soslayo hacia Serten y después esboza una sonrisa.

Su boca aún está ensangrentada y le faltan algunas piezas dentales, probablemente fruto de la tortura.

Je - exclama - ?Y por qué iba a deciros nada... ""enanos""? - esa última palabra la remarcó como si quisiera faltaros al respeto."
Orsik Barbarroble,"27/02/2021, 09:45","La reticencia de Dennek a contestar enojó a Orsik.

??Porque no tienes otra opción!..? le grito al prisionero. 

Por un instante Orsik quiso entrar a la jaula y aplicarle a Dennek un buen correctivo que le hiciera sangrar, pero intentó moderar su actitud dándole una segunda oportunidad.

?Sabes.., tienes suerte de seguir con vida, En otras circunstancias te habrían abierto la espalda y los cuervos estarían alimentándose de ti mientras te pudres. Así que, se listo y juega bien tus cartas..?"
Rurik Rumnaheim,"27/02/2021, 12:01","-?Es un fenómeno!--susurró el arcanista al monje--Por un momento, me lo he creído hasta yo. ?Qué artista!"
Dennek,"27/02/2021, 14:15","Dennek parecía contrariado en sus pensamientos y todo apuntaba a que sólo sacaríais algo de información con cuentagotas.

El Rey Sabueso tiene una concubina gnoll que le aconseja. Ésta vigila su guarida cuando el Rey Sabueso sale a cazar. Incluso si acabáis con el viejo Gnaragg, su concubina podría tener la influencia necesaria para mantener a los gnolls unidos durante la batalla. Deberéis acabar también con ella.

El prisionero había obviado deliberadamente las preguntas sobre su persona."
Groac'h de fromma,"27/02/2021, 18:17",
Groac'h de fromma,"27/02/2021, 18:19","""Por el Rey enano"", se dice Groac'h, ""una concubina dirigiendo un ejército...""

??Malditos bárbaros!"
Soren Ojoagudo,"27/02/2021, 23:00","Cuando el prisionero reveló la nueva información, Soren trató de imaginar a la concubina gnoll. Sin embargo, no tardó mucho en desistir de hacerlo, pues no era precísamente una imagen agradable.

-Parece que se nos multiplica el trabajo. Espero que también lo haga nuestra recompensa...-dijo el pícaro con cierta sorna, aunque procurando que Serten le oyese."
Serten,"01/03/2021, 10:34","Serten lanza una tajante mirada a Soren.

Desde que habíais aceptado uniros a Grit Huesos de Piedra, habíais jurado lealtad a los enanos de las Lortmils y por ende a la Hueste Justa. Pensar en una recompensa personal en este conflicto estaba en las antípodas del ideario del sacerdote de San Cuthbert.

Aún así, no dijo nada. No quería exponer flaquezas o fracturas entre las filas del Príncipe Thrommel delante de un prisionero."
Dennek,"01/03/2021, 11:20","Dennek volvió a sonreír ante la afirmación de Soren. Un hilillo de saliva ensangrentada cayó lentamente desde su boca al suelo de la carreta donde se encontraba retenido.

Bien - dijo sorbiendo los restos de saliva -. Os diré como llegar allí: Hay un par de árboles muertos y un conjunto de arbustos espinosos alrededor del lado noreste de la colina del Rey Sabueso, detrás del cual encontraréis un túnel estrecho. Está desprotegido y conduce a la guarida de Gnaragg."
Rurik Rumnaheim,"01/03/2021, 18:02","-?Chacho!--reprende Rurik a Soren--?Que van a pensar que estamos aquí por las perras!

Cuando el cautivo comenzó a cantar, el mago enano fue tomando nota mental de todo cuanto decía."
Groac'h de fromma,"01/03/2021, 23:32","??Miserable microbio apestoso! ?espeta Groac'h?. Si ya es difícil creer que una concubina pueda ejercer semejante dominio sobre esa chusma hueleculos, ?ahora nos sueltas que hay un caminito secreto que lleva hasta la guarida del jefe! ?el enano que ya no iba muy dispuesto a confiar en un prisionero torturado, ahora confirma su escepticismo inicial?. ?Y ahora qué nos vas a contar? ??Que tiene en el astillero una espada vorpalina allí tirada para quien le quiera cortar el pescuezo?? Liquidadlo, por piedad, liquidad a esta infame escoria ?sentencia algo nervioso y desenvaina su hacha de batalla para ayudar en la faena.

Groac'h no lleva bien los interrogatorios."
Soren Ojoagudo,"02/03/2021, 20:50","Soren intentó aguantar la risa ante el pequeño barullo que se montó en un momento. En otras circunstancias habría disfrutado del espectáculo, pero la mirada de Serten le había dejado bastante claro que no estaba el horno para bollos.

-No vale la pena, hermano-dijo acercándose a Groac'h para intentar tranquilizarlo-. Ya tiene bastante con lo que tiene. Quizá sus palabras sean un embuste, o no. Sea como fuere, lo comprobaremos.

Se rascó la mugrosa barba unos segundos.

-Por mi parte podemos marcharnos ya de aquí."
Orsik Barbarroble,"03/03/2021, 12:53","Orsik se muestra satisfecho con la información que nos proporciona Dennek, lo que le lleva por un momento a sentirse orgulloso por no haber perdido su ""toque"" para tratar con prisioneros de guerra.

?Espero, por tu salud, que hayas jugado bien tus opciones..? le digo a Dennek ?Si nos has mentido, dejaré que él..? giro la cabeza para señalar a Groac'h con la mirada ?..se encargue de ti personalmente? A continuación vuelvo con mis compañeros.

??Muchachos! Vamos a patear culos de gnolls?"
Rurik Rumnaheim,"03/03/2021, 18:21","-?Siuuuuuuuuuuuuuuuuuuuuuuuuuuuu!--exclama Rurik a todo pulmón, sobresaltando a casi todos los presentes."
Director,"04/03/2021, 12:49","Tras el interrogatorio, Serten os pide que os pongáis en marcha lo antes posible.

Según las averiguaciones que ha hecho la Hueste Justa además de vuestro interrogatorio, la guarida del llamado Rey Sabueso debe encontrarse a unas dos horas de camino.

Siendo disciplinados, decidís abandonar inmediatamente el campamento base para adentraros en las llanuras, en busca del Rey Sabueso y su ralea."
Director,"04/03/2021, 13:11",
Director,"04/03/2021, 13:17","Rastreando a los gnolls, todos atentos a los posibles enemigos o peligros que os puedan acechar, de repente observáis como Rurik da un paso en falso y su pierna se hunde en un gran foso oculto.

Todos quedáis sorprendidos por la trampa y el arcano se debate entre mantener el equilibrio o caer varios pies al fondo."
Rurik Rumnaheim,"04/03/2021, 21:14","-?Coñe!--ahuya el abjurador enano cuando a punto está de caer al fondo del foso. Por suerte, Rurik logra agarrarse del brazo de Soren en el último momento."
Soren Ojoagudo,"05/03/2021, 12:42","-?Pero qué demonios!-exclamó Soren cuando el mago se agarró a su brazo para evitar la caída.

Tiró del canoso enano para arrastrarlo a suelo firme, y luego se aproximó cuidadosamente con la intención de ver más de cerca el foso por el que casi se precipita.

-Buenos reflejos para un viejo ratón de biblioteca. Te has librado de una buena, jejeje-le dijo a su compañero-. Tendremos que andar con los ojos bien abiertos, pues podría haber más de estas en nuestro camino. Si os parece bien, yo encabezaré la marcha unos pasos por delante inspeccionando el terreno."
Rurik Rumnaheim,"05/03/2021, 18:53",-A lo mejor ese truhán nos ha dirigido a una maraña de trampas--sospecha un enojado Rurik en voz alta--Como así sea voy a ser yo el que lo interrogue a la vuelta.
Gulgram Stonefist,"05/03/2021, 22:01","Casi como un autómata... Gulgram siguió a sus compañeros. Apenas prestó atención al interrogatorio y a las chanzas de Rurik. Iban camino de una lucha y él mismo estaba en lucha consigo mismo. El grito de su más amado compañero lo sacó definitivamente de sus cavilaciones. Lo primero era acabar con El Rey Sabueso y su Concubina. Ya habría tiempo para luchas internas... Cuando volvamos al campamento, debo meditar - Se dijo."
Narrador,"03/04/2019, 19:52","El aire de la posada estaba cargado del olor a vino caliente especiado, el perfume empalagoso de alguna de las mujeres y el pegajoso calor de las velas de cera. El ambiente general era alegre pero discreto, todo el mundo parecía divertirse con las mujeres de vida alegre que deambulaban por la sala y los reservados. No era como otras posadas que haiais visitado, no había gritos ni borrachos babeando sobre la barra, todo transcurría con una impecable etiqueta.

Solo tres personas destacaban en el cuadro que formaba la sala, tres personajes que parecían haberse añadido caprichosamente después al lienzo. Un monje de cara seria y tonsura impecable con una flor encarnada colgada de su hábito, un caballero armado y preparado para la lucha con una flor igual que el monje, y finalmente un caballero vestido con una capa vasta de pieles impropia de la elegancia de Venecia."
Zoltan Bratovich,"05/04/2019, 09:01","Jensi, la flor que te entregué antes... ?Qué has hecho con ella? "
Francesco,"05/04/2019, 10:51",?Puedo acompañarle con un poco de vino?
Don Diego de Ruiz y Serrano,"10/04/2019, 22:22",Por supuesto. Siempre es un placer compartir una mesa con un servidor de Dios nuestro señor. Por desgracia no abundan en estas tierras tanto como debieran.
Francesco,"11/04/2019, 11:23","Mi nombre es Francesco, acabo de llegar a la ciudad y desde luego esto parece un hervidero de gente. ?Ha venido por la cruzada? supongo que si pues en Venecia solo hay dos cosas que hacer, comerciar y las cruzadas y no tiene pintas de lo primero."
Don Diego de Ruiz y Serrano,"14/04/2019, 12:36","Un poco de cada, pero más bien soy cruzado. Aunque en su caso no sabría muy bien que decir. Por más que claramente sea un hombre de Dios no acabo de identificarle con un hombre de armas. Aunque no sería el caso más atípico de soldado de Nuestro Señor en la cruzada."
Anna Sgorina,"15/04/2019, 21:52","?Una joven puede ayudar a sus camarada? He oído que hablabais de la cruzada. Disculpad mi falta de educación, mi nombre es Anna Sgorina, enviada de Bizancio."
Francesco,"16/04/2019, 11:46","Los arcos y las espadas no son lo mio, pero en una cruzada se reune mucha gente de todo tipo y ese gran rebaño necesita pastores. No es de buena educación escuchar conversaciones ajenas... aunque poco más hay que hacer en un sitio como este para una viajera solitaria me temo. Mi nombre es Francesco."
Narrador,"16/04/2019, 19:46","Notas el aroma del desierto mezclado con el intenso olor de las especias, azafrán y pimienta asiática. También el suave tacto de la piel femenina que nunca se ha ensuciado por el arduo trabajo."
Don Diego de Ruiz y Serrano,"20/04/2019, 19:46","Por favor, siéntese si lo desea. Estábamos hablando de Dios y de la misión divina que el santo padre nos ha encomendado. Mi nombre es Don Diego de Ruiz y Serrano, del Reino de Castilla y caballero cruzado. ?Habéis venido con una expedición a la reunión o sois mensajera de noticias del imperio del este?"
Anna Sgorina,"23/04/2019, 20:07","Una joven no es mal educada, es solo curiosa. Una joven se encuentra en la ciudad en calidad de embajadora del imperio. Alguien tiene que tratar de defender la cultura e impedir que la barbarie destruya lo que tantos años nos ha costado crear. El príncipe ha preparado un lugar adecuado para discutir sobre el siguiente paso de la?. expedición."
Francesco,"24/04/2019, 20:27","Esta ciudad no ha hecho más que sorprenderme desde mi llegada... Mi nombre es Francesco aunque seguramente ya lo conocia, no hagamos esperar al principe."
Don Diego de Ruiz y Serrano,"27/04/2019, 23:54",En ese caso supongo que es momento de caminar 
Narrador,"02/06/2019, 16:23","La sala se encuentra abarrotada de personas. Un hombre altivo de pelo cano y rostro severo se encuentra sobre una tarima, Anna os comenta que es Narse el príncipe de Venecia. Justo a su lado un paso por detrás de él y sobre la misma tarima, se encuentra un hombre de unos treinta años de cabellera rubia y mandíbula marcada. Al igual que Narse viste una túnica elegante de corte veneciano y solo porta una simple daga en el cinto. Anna comenta que el rubio es Guillermo Aliprando, el lugarteniente de Narse."
Anna Sgorina,"02/06/2019, 16:37","Dentro de poco comenzara la reunión.Una joven sabe que en ella se tratara de esclarecer el rumbo de la cruzada. Los lasombras abogan por atacar Jerusalén usando la misma ruta que han seguido las anteriores cruzadas. !Una joven piensa que es una barbaridad inútil que les obligara a pasar por Constantinopla! Mientras que los Ventrue abogan por atacar Eguipto, el granero del imperio, y así debilitar al enemigo antes de atacar Jerusalén."
Narrador,"03/06/2019, 08:12","La sala se encuentra abarrotada de personas. Un hombre altivo de pelo cano y rostro severo se encuentra sobre una tarima. Justo a su lado un paso por detrás de él y sobre la misma tarima, se encuentra un hombre de unos treinta años de cabellera rubia y mandíbula marcada. Al igual que el otro hombre de la tarima viste una túnica elegante de corte veneciano y solo porta una simple daga en el cinto."
Don Diego de Ruiz y Serrano,"03/06/2019, 10:14","Ambas son estrategias interesantes Desde luego el enfoque egipcio es mucho más cercano al enfoque de nuestra estirpe. Será más lento y costoso, pero también mucho más seguro. Por otro lado, a diferencia de en una partida de ajedrez, nosotros tenemos que preocuparnos de que nuestras piezas se acaben muriendo por el tiempo. Mucho dependerá de si consideramos tener la fuerza suficiente para que un golpe de mano sea viable ahora mismo."
Narrador,"05/06/2019, 20:43","El joven se encaminó rápidamente por las escaleras. Era sorprendente que en una ciudad erguida sobre una laguna pudiera haber un sótano. Tras pasar barias puertas llegas a una gran sala.  El suelo está cubierto de mosaicos hechos de oro, bronce y una gran variedad de minerales. De igual manera, las paredes están decoradas con mosaicos, esculturas bizantinas y estatuas de varios santos y mártires. La sala se encuentra abarrotada de personas. Un hombre altivo de pelo cano y rostro severo se encuentra sobre una tarima. Justo a su lado un paso por detrás de él y sobre la misma tarima, se encuentra un hombre de unos treinta años de cabellera rubia y mandíbula marcada. Al igual que el otro hombre de la tarima viste una túnica elegante de corte veneciano y solo porta una simple daga en el cinto."
Narsés,"06/06/2019, 21:38","Signore e signori. Estamos aquí reunidos para decidir el curso de esta nueva cruzada. Nuestra repubblica se comprometió a facilitar los barcos necesarios para la expedición, pero no está en nuestras manos el decidir el rumbo que ha de seguir hasta su meta. Por ellos, Signore e signori he tenido a bien dejarles estas salas para que diriman sus discrepancias, y los barcos, que con tanto cariño ha construido la repubblica, lleven a los cruzados a Tierra Santa."
Lanzo von Sachsen,"06/06/2019, 21:40","Mis presentaciones no son necesarias.  Soy Lanzo von Sachsen, heredero de la sangre de Hardestadl, y he venido a defender los intereses de mi casa. Todos los aqui reunidos deseamos la recuperacion de los santos lugares y el esteminio de esa plaga musulmana. Por ello, no debemos caer en los herrores de anteriores cruzadas. Debemos de atacar Equipto, el granero musulman, y asi desbiar la atencion del enemigo. !Primero hay que atacar el estomago para despues cercenar la cabeza!"
Narrador,"06/06/2019, 21:42","Las palabras fueron recividas por el resto del auditorio con disparidad. El grupo que rodeaba a Lanzo las apaludio vivamente, muentras que el reto de la sala las discutio o las descalifico. Pero entre los rostros de la gente habia uno que mostraba verdadero pesar. La mujer de vestimentas arabes parecia totalmente decaida, las palabras de Lanzo deabian de haber sido un duro golpe para su estrategia."
Tommaso Brexiano,"06/06/2019, 21:43","Para quienes no me conozcan soy Tommaso Brexiano, hijo de estas tierras de la nostra Italia.  Los intereses de mi partido, al igual que los de mi amico Lanzo, es recuperar tierra santa,  pero difiero en el camino que quiere tomar. Como figlio de comerciantes sé que la ruta es lo más impórtate, y empeñar los barcos en una travesía tan larga y tan incierta hasta Egipto es algo que no podemos permitirnos. Por ello, propongo atacar directamente Jerusalén como hizo Balduino en la primera cruzada.  "
Eleonora de Occitania,"07/06/2019, 22:39","Buona nocte tenga la vuesa merced.  Eleonora de Occitania, es un placer hallar a tan galán caballero. Vuestra flor es muy bella, aún no decidí si más que la mía."
Don Diego de Ruiz y Serrano,"07/06/2019, 23:40","Don Diego de Ruiz y Serrano, caballero de la Orden de Santiago y, espero, caballero cruzado si se decide emprender el camino hacia los Santos Lugares. Es un placer conocer a una dama de tan exquisitos modales."
Eleonora de Occitania,"09/06/2019, 10:24","Entonces, ?estáis decidido a partir a la Cuarta de las Santas Cruzadas?-me muerdo ligeramente el labio inferior-Habrá grades y épicas batallas por narrar, entonces, mio signore. ?Sois compatriota del grande Mío Cid? ?Es cierto que ganó una batalla tras muerto?"
Francesco,"10/06/2019, 10:02","La muerte no es el fin, sino el descanso del cuerpo y el despertar del alma. Muchacha, acercate, no hace falta que te ocultes en esta sala y si llevas esa rosa es porque tienes el mismo derecho de estar aqui que los demás"
Khadijah Saadeh,"10/06/2019, 12:31","?Y porque atacar? Mi nombre es Khadijah Saadeh, y aunque mi origen sea árabe, soy cristiana.  Lo único que han conseguido las Cruzadas es crear más sufrimiento en la región y a sus habitantes. Nadie ha traído el reino de los cielos a Palestina. Solo dolor y sangre. Niños muertos en las manos de sus madres. Detener esta rueda de destrucción."
Lanzo von Sachsen,"10/06/2019, 12:35","Señorita, todos desearíamos que no se derramara más sangre. El mundo es un lugar cruel, lleno de maldad. El reino de los cielos no está aquí, en la tierra, como su nombre indica, el reino de los cielos está en el cielo. Muy lejos de nuestro alcance. Sino atacamos nosotros, lo harán ellos, los musulmanes, los árabes. ?Qué más da su nombre? Entonces solo cambiara que los niños muertos serán cristianos en vede árabes."
Francesco,"10/06/2019, 12:43","El reino de los cielos esta lejos del alcance de los demonios de esta sala, supongo que no es algo que anhele la mayoría de los aquí presentes pero Jerusalem es un objetivo para todos los aquí presentes. Para los arrepentidos de su condición Jerusalem es la puerta al purgatorio que tanto anhelan, para los que buscan gloria Jerusalem y la cruzada serán recordadas mucho despues de nuestras inmortales vidas. Para los que no tienen nada, Jerusalem es una oportunidad y una esperanza. No es voluntad de los hombres o inmortales decidir los designios del señor, ?Jerusalem será tomada y devuelta a los cristianos, con o sin los aquí presentes y no hay mejor guerra que la que se libra lejos de casa..."
Karmen Vjera,"10/06/2019, 17:50","Le suplico que me disculpe señor. No tenia la intención de molestarlo, ni a usted ni a nadie."
Eleonora de Occitania,"10/06/2019, 18:09","?Cómo es que os llamáis, pequeña? Aquí se están decidiendo grandes cosas y hay mayores y más fuertes voces que las nuestras. Pero si deseas hacer saber tu opinión, hazlo, si bien medita bien y escoge mejor las palabras. Aunque me da que los caballeros y la dama son los que van a llevar el peso del debate."
Karmen Vjera,"10/06/2019, 18:35","Me llamo Karmen Vjera, era la hija pequeña de unos humildes comerciantes. Los que he conocido desde la no vida siempre me recuerdan mi procedencia. Si señora?, primero escuchare y después diré lo que me indico mi voivoda."
Anna Sgorina,"12/06/2019, 12:19","?Por qué reniega del reino de los cielos en la tierra? Una chica sabe que en el estudio se encuentra la razón, y en la razón se encuentra la salvación. Una chica a oído leyenda, igual que todo los condenados de la sala. Una chica sabe que en las leyendas hay parte de razón."
Lanzo von Sachsen,"12/06/2019, 12:20","Una chica puede saber muchas cosas. Pero donde no llega la razón llega la espada, y Jerusalén está mucho más allá del poder de la razón, ergo, hay que usar la espada. !DEUS VULT"
Tommaso Brexiano,"12/06/2019, 12:20","Pater. Su visión del commercio e guerra es espectacular. Una guerra fuera de la nostra terra?. Es todo ventaja. Pero debemos de fijar el primer paso, sino esta cruzada se desbaratara antes de salir de la laguna. Debemos de ir direttamente a por Jerusalén, una maniobra de diversión contra Egipto solo conllevara spese inutili."
Don Diego de Ruiz y Serrano,"12/06/2019, 15:48","Por tu aspecto, fuera de estas pareces deberemos tratarte como una inferior, posiblemente nuestra sirviente o algo así, pero aquí dentro eres una igual, o al menos más igual que ahí fuera. Es una cuestión de mantener la imagen de que no existimos a ojos del rebaño."
Eleonora de Occitania,"12/06/2019, 18:49","Buona nocte, damas y caballeros aquí presentes. Eleonora de Occitania, Chiquilla de Giacinta di Livorno. De lejos provengo y he recorrido largas leguas en pos de las gentes que aquí han llegado en pos de la Cruzada. No será cosa fácil que desistan de tal empresa, pues es obra elevada a los ojos de Dios. Y si Dios lo quiere, poco hay que mano del hombre o Cainita pueda hacer.  Pero que se haga tal Cruzada no quiere decir que sea una carnecería. Jerusalem, tres veces santa, es destino de muchos y será el final de otros tantos. Desconozco el arte de la guerra, pero si los mis señores pueden instruir a esta ignorante, ?por qué desviar recursos a Egipto? ?No sería más práctico que se viajase directamente a las costas de Palestina?"
Francesco,"14/06/2019, 11:44","La estrategía no es una de mis competencias, para la cual sin duda hay aquí caballeros mucho más cualificados que yo, tan solo quería enfatizar en que Jerusalem debe volver a la cristiandaz esto es algo que no ha de ponerse en duda ni en esta sala ni fuera de ella... como haya de hacerse es algo para lo que no me debo pronunciarme."
Roland du Rocher,"14/06/2019, 15:16","Todo gran imperio tiene un gran ejército y todo ejército necesita comida.  Es algo lógico e innegable, y que seguro que los comerciantes saben apreciar mejor este matiz que yo. El ejército infiel se alimenta de los graneros de Egipto como hizo Roma también hace siglos. Sin Egipto el infiel no podrá alimentar sus tropas y estas se rebelaran, cundirá el desorden en sus filas, y será mucho más fácil alcanzar Jerusalén.  Además, estratégicamente, Egipto esta mucho menos defendido que tierra santa. El infiel pone sus ojos en Tierra santa e Hispania, lugares fronterizos, no se esperara un ataque en Egipto."
Lanzo von Sachsen,"14/06/2019, 15:16","!Hay que atacar al dragón en el estómago! !El vientre de la bestia es la parte más blanda! !Como hizo San Jorge, mataremos a la bestia infiel y cercenaremos su cabeza! !DEUS VULT! "
Khadijah Saadeh,"14/06/2019, 15:17","Tal vez el destino del hombre sea odiar y ser odiado. Si no existirá el odio en el mundo, el hombre no necesitaría a Dios. !Dios se ha convertido en una simple excusa para la confrontación!  "
Karmen Vjera,"14/06/2019, 18:29","Señora Eleonora, el hambre es terrible para los humanos, yo la conocí. Voy a intentar disuadirlos.  Soy Karmen Vjera, enviada por el voivoda Bertalan Alexander. Pero ahora os hablare del hambre. Por vuestro aspecto dudo mucho que en vuestra vida mortal la hayáis conocido, yo sí. Cuando había escases de comida, fuera por guerras o malas cosechas la gente de armas siempre se aseguraba su sustento sin importarles lo que sucediera a los que no podían hacerles frente. Incluso algunos sacerdotes o monjas aparecían con sus soldados para comunicarnos la voluntad de Dios. Si conseguís que deje de llegarles la comida de Egipto sus soldados serán los últimos en verse afectados por el hambre y los primeros en morir serán los cristianos que residen allí, cuando se enteren sus vecinos del motivo por el que mueren de hambre sus hijos y sus ancianos. Además, les daréis tiempo para que mas ejércitos musulmanes acudan a defender Jerusalén, a menos que vuestro interés sea Egipto y no Jerusalén."
Eleonora de Occitania,"17/06/2019, 21:42","No puedo negar que vuestras palabras resuelven y a la vez generan dudas. Entiendo que, dado el peligro y las dificultades del camino, tanto sea a Palestina directamente u optando por Egipto, la elección debe ser cuidadosa y ser a su vez la más ventajosa. No obstante, me asalta una nueva cuestión, si tienen a bien resolver mi duda: ?bastará herir al dragón en el vientre? ?Será suficiente para eludir sus fauces y que las tropas de aquesta Cruzada alcancen su objetivo final, Jerusalén?"
Lanzo von Sachsen,"19/06/2019, 20:38","!Hablas como una campesina que no entiende del arte de la guerra! Es cierto que los soldados serán los últimos en ser afectados, pero serán afectados, pero si hay guerra todo el mundo pasara hambre. El sufrimiento de unos miles por la salvación del mundo."
Tommaso Brexiano,"19/06/2019, 20:42","La bambina tiene razón, los soldados recurrirán al pillaje para poder alimentarse."
Guillermo Aliprando,"19/06/2019, 20:44","!Señores! Son altas horas de la noche y hoy no se va alcanzar ningún acuerdo.  Claramente hay que?. !Hoy no se va a alcanzar ningún acuerdo! Son altas horas de la noche, y su anfitrión, el Dux Narsés tiene más asuntos que requieren su presencia. Mañana son emplazados en esta misma sala para continuar con la disertación."
Don Diego de Ruiz y Serrano,"21/06/2019, 09:45","?Tenéis un refugio al que acudir? Si no he entendido mal todos sois nuevos en la ciudad y , según parece, alguien está muy interesado en que nos unamos para esta misión. Lo que resulta interesante cuando parece que no compartamos del todo opinión sobre la forma de afrontar esta cruzada."
Karmen Vjera,"21/06/2019, 16:30","Es la primera vez que he venido a Venecia y mi sire el voivoda Bertalan Alexander se ocupo de los detalles de mi viaje, así como del lugar donde pasaría los días. Es una especie de posada muy transitada."
Don Diego de Ruiz y Serrano,"23/06/2019, 11:22","Por mi parte tengo el mío propio, pero veo las bondades de permanecer juntos por el momento. La noche veneciana me reclama por unas horas, pero estaré encantado de volver antes del amanecer para poder hacer planes entre nosotros si lo consideráis oportuno. Algo me dice que esta puede ser la ocasión perfecta para unir fuerzas y llegar a mejores resultados para todos."
Narrador,"24/06/2019, 15:45","La sala fue vaciándose poco a poco, algún grupo rezagado continúo hablando pero la gran mayoría de los presentes abandono la sala siguiendo las escaleras que llevaban a la Plaza de San Marcos. Aún faltaban un par de horas para el amanecer pero el movimiento volvía a ser frenético. En los muelles se descargaban mercancías y los hogares de las panaderías comenzaban a sacar sus primeras remesas de pan. El olor del pan recién hecho se mezclaba con el olor a agua estancada de la laguna y el persistente olor a gente hacinada en una ciudad.

Los diversos invitados se dispersaron por las diferentes calles que daban a la Piazza, caminando o en góndola. Karmen, la pequeña niñas, hacía de guía de sus nuevos amigos; Diego, el caballero español, se separó del grupo con la promesa de volverse a ver; y Akos permanecía quieto en mitad de la plaza como una roca que la marea no consigue mover."
Adriana Occhiverdi,"24/06/2019, 16:32","?Muchacha, has traído invitados? Mi nombre es Adriana Occhiverdi. ?Vino, agua, o simplemente nada?"
Karmen Vjera,"24/06/2019, 19:18","No quisiera ser malpensada, pero me preocupa un poco que quisiera saber cual era mi refugio para después tener que marchar con urgencia. Además, él no me ha correspondido diciéndome cual es el suyo. Puede que sea haber pasado toda mi vida mortal en una familia de comerciantes, pero hay que dar cosas a cambio de lo que obtienes, o pretendes obtener."
Francesco,"26/06/2019, 20:39","Ser desconfiada por naturaleza te mantendrá viva. Pero ten control sobre tus fantasmas o no verás más allá. Vino, qué clase de monje sería con una copa de agua."
Narrador,"03/07/2019, 20:30","Finalmente encontraste la posada que Karmen había indicado. Se encontraba al final de la calle que los venecianos llaman de la Mandola, muy larga y animada; y antes de llegar al campo de San Ángelo, en un cruce de calles más estrechas, sumiéndose en las sombras que allí eran espesas se cruzaba un estrecho puente, bajo un soportal que cubría toda la calle, y en cuya embocadura una luz rojiza iluminaba, sobre una puerta en forma de arco. Esa era la dirección que te había procurado la niña.

El interior de la posada unas pocas sombras inmóviles en el contraluz de las velas: negras siluetas masculinas y femeninas sentadas en mesas y reservado. Sonaban susurros, risas contenidas, murmullos de conversación. En un rincón apartado encuentras a tus tres compañeros charlado con una mucho mayor que todas las mujeres de la sala."
Adriana Occhiverdi,"03/07/2019, 20:32","Mis huéspedes, permitirme que les acompañe a sus aposentos. No son lujosos, ni amplios. En principio solo esperaba una visita, así que, el espacio se verá reducido. Espero que el local sea de vuestro agrado."
Narrador,"03/07/2019, 21:04","Finalmente no pudiste seguir a Zoltan, el caballero se subió a una góndola y se perdió por uno de los múltiples canales de la serenísima. Finalmente decidiste buscar un pequeño huerto donde enterrarte."
Eleonora de Occitania,"03/07/2019, 22:18","Mi señora, no os ofendáis. Vuestra hospitalidad es bien recibida y apreciada, más no me es posible descansar en el mismo lugar con tantas personas. Si fuera posible hallarme otro sitio adecuado, recibiríais mi gratitud en el pago que más aprecie vuestra persona, sea oro o un favor a futuros."
Adriana Occhiverdi,"04/07/2019, 10:13"," Claro, muchacha. Hay otro lugar donde puedas descansar. Hace mucho que conozco a los non morto, pero vuestras costumbres aún me son raras. Rápido, pronto será de día. Mi casa está al otro lado de la calles. Ante era hermosa como tú, Ragazza, pero el paso del tiempo es rápido.Si me hubieran dando el don de los non morto, yo aún seria hermosa. ?Podrías concederme ese don??como gratitud?.?.antes de que dejes la serenisima?  "
Don Diego de Ruiz y Serrano,"04/07/2019, 16:50",Es un placer veros de nuevo. Espero que mañana podamos ponernos al día sobre las novedades que surgieran en estas horas.
Eleonora de Occitania,"04/07/2019, 23:20","Signora mia, es grande el pago que pides pero bello en su simpleza. Os noto cansada de la vida y eso no es per sé motivo de daros acceso a la eternidad. Otorgadme vuestra compañía mientras esté en la Serenissima y prometo llevaros conmigo cuando parta. Ahora, vos y yo vamos a compartir algo muy íntimo, algo que os cambiará la vida, dará más fuerza y entereza. Esto no es sino un compromiso vuestro hacia mí, estaréis a mi lado y aprenderéis. ?Os place?"
Adriana Occhiverdi,"05/07/2019, 10:07","Por supuesta, Ragazza , os seguiré hasta el final del mundo."
Karmen Vjera,"06/07/2019, 22:44","Siento las molestias que te he podido ocasionar. Voy a tomar algo fuera. ?Dónde no recomendarías ir a tu hija o una niña que apreciaras? No quisiera hacerlo de una buena persona, así dejo mas seguras las calles eliminado alimañas."
Maestro del Saber,"06/02/2024, 17:49","La compañía se prepara para proseguir su viaje con Baldor revisando la mercancía de la caravana y el joven Belgo tomando cuidado de los ponis.

La parte occidental del bosque Negro es hosca y peligrosa, eso lo sabéis, aunque esta parte del bosque se encuentra lejos de la Sombra del sur y en algunos lugares el aire no está tan estancado y la luz brilla más. A veces, a través de algún hueco en el dosel del bosque, podéis ver el cielo despejado por encima. A esa luz que se filtra, la compañía ve piedras marcadas con runas, o montones de rocas que demuestran que antaño hubo hombres que vivieron por aquí. Incluso encontrándoos aún bajo la sombra del bosque Negro, todos podéis notar que la temperatura aumenta y, conforme avanzáis, empezáis a sentir mucho calor.

Ya es mediodía cuando un sentimiento de fatiga parece surgir del terreno hasta encaramarse por vuestras piernas. Las moscas zumban alrededor de vuestros oídos y el agua que gotea de un centenar de arroyuelos suena como una canción de cuna a media voz."
