Texto,Idioma
"¿Chaynullachu nanan, manaqachu ĉhamur ĉhamurla?",Quechua
"¿Nanaywanqachu punuyta puytinki, manaqachu mana?",Quechua
¿Puritikqachu nanan?,Quechua
¿Mikutikqachu nanan?,Quechua
¿Lichita upyatikqachu nanayqa qasillan?,Quechua
¿Sintikutikqachu nanan?,Quechua
¿Itakuchis hunayanchu?,Quechua
¿Itakuchishushanachu?,Quechua
¿Ayka kutitaq itakuchishusha?,Quechua
¿Imurastaq kasha kanqa?,Quechua
¿Yawartachu itakuchishusha?,Quechua
¿Ima mikuykuna dañashuqtachu yarpunki?,Quechua
¿Quskuchishuyanchu?,Quechua
¿Imanutaq quskuchishuyan?,Quechua
¿ĉhaqyallatachu quskuclzishuyan manaqa qusutachu itakuchishuyan?,Quechua
¿Ima kulurtaq quskur tuqakushaykiqa?,Quechua
¿Yawarllatachu?,Quechua
¿Tutamanqachu qusukuchishun?,Quechua
¿Manachu amayniykita itakuyta puytinki?,Quechua
¿Amayniyki tukukaqta yupaychu yarpunki?,Quechua
¿Pustapiqachu rimidyashushana?,Quechua
¿Maydiyataq?,Quechua
¿Mayqantaq?,Quechua
¿Ima pastillatataq upyashayki?,Quechua
"¿Pastillakunata upyarqachu, ashlillaqa tukushayki?",Quechua
¿Pwiblupichu tanki?,Quechua
¿Jwirapi?,Quechua
¿ĉhakrapi?,Quechua
"¿Tayashaykipiqachu kusata qasan, manaqachu kaluryan?",Quechua
¿Riyupa yatankaqpichu tanki?,Quechua
¿Shallqapichu tanki?,Quechua
¿Imakunataq winan tayashaykipiqa?,Quechua
¿Akshukuna?,Quechua
¿frutakuna?,Quechua
¿Kunĉhankunachu kan?,Quechua
¿Chuspikunachu kan?,Quechua
¿Tutachu kanimanchik manaqachu unaq?,Quechua
¿Ima animalkunatataq kriyanllapa tayashaykipiqa?,Quechua
¿Imawantaq rurakasha wasiykiqa? ,Quechua
¿Adubiwanchu?,Quechua
¿Kinĉhakas halachu?,Quechua
¿Pirqakashalachu? ,Quechua
¿Ima yakutataq upyanki?,Quechua
¿Tubumantachu?,Quechua
¿Sikyamantachu?,Quechua
¿Maypitaq jwirakunki?,Quechua
¿Quskuchiywan?,Quechua
¿Rupawan?,Quechua
¿Pasaywan?,Quechua
"¿Tayashaykipiqachu mayqanllaqa wanusha rupawan, pasaywan, manaqa yawarta itakuchitin ima?",Quechua
¿Imaraykutaq qishashayki?,Quechua
¿Unaypischu kaynuqa qishashayki kayaq? ,Quechua
¿Michka añuyjun kartaq punta rakĉhaykitaqa rikarayki?,Quechua
¿Ayka diyatataq rikanki? ,Quechua
¿Tukuy mischu?,Quechua
¿Aykataq wamraykikunaqa?,Quechua
¿Aykataq kawsayan?,Quechua
¿Aykataq wanusha nasirqa?,Quechua
¿Uk kutillaqachu _Quechuarntamyashayki?,Quechua
¿Illaqmanta manaqachu imarayku?,Quechua
¿Maydiyataq qashan rakĉhaykitaqa rikarayki?,Quechua
"¿Imanutaq nasisha safachikuq yanapashutin, manaqachu operashutin?",Quechua
¿Misisninpichu nasisha?,Quechua
¿Nasirqachu allinta wamraqa llashayaran?,Quechua
¿Tukuynin vacunata tukchisha?,Quechua
¿Unaykunaqa ima qishaywantaq karayki?,Quechua
¿Uk kutillaqachu operakashayki karan? ,Quechua
¿Imamantana?,Quechua
¿Maydiyana?,Quechua
¿Kaynuqachu unaykunaqa qishashayki?,Quechua
¿Qusukurqachu tuqakushayki yawarta uk kutillaqa?,Quechua
¿Allinchu runaykiqa?,Quechua
¿Allinchu warmiykiqa?,Quechua
¿Allilanchu wamraykikunaqa?,Quechua
¿Yaĉhankichu ima qishaywantaq taytaykikunaqa karan nir?,Quechua
¿Kawsayanraqchu taytaykikunaqa?,Quechua
¿Mayqan aylluykillaqachu qusukur yawarta tuqakuyar wanusha?,Quechua
"¿Ima pastillakunallaqachu, mana allinta rurashun?",Quechua
¿Ima mikuykunallaqachu mana allinta rurashun?,Quechua
¿Maypitaq trabajanki?,Quechua
¿Minapi?,Quechua
¿Uk ufisinapi?,Quechua
¿Ayka wamrayjuntaq kanki?,Quechua
¿Imakunatataq mikunki?,Quechua
¿Achka arinayjuntachu?,Quechua
¿Tubumanta yakuyki kanchu?,Quechua
¿Kanchu disagwi wasiykipi?,Quechua
¿Luz kanchu?,Quechua
¿Sigarruta fumankichu?,Quechua
¿Tragutachu upyanki?,Quechua
¿Allintachu mikuyanki?,Quechua
¿Mallaqnayankichu?,Quechua
¿Imakunatataq mikuyanki?,Quechua
¿Upyayankichu yakukunata?,Quechua
¿Kusalatachu yakunayanki?,Quechua
¿Tuta manachu unaqchu?,Quechua
"¿Pununkichu, manaqachu mana?",Quechua
¿Pununayankichu?,Quechua
"¿Shumaqtachu pununki
manaqachu mana punuyta puytinki?",Quechua
¿Manachu punuyta puytinki?,Quechua
¿Imapaqtaq mana punuyta puytinki?,Quechua
¿ĉhusyakunkichu?,Quechua
¿imanutataq ĉhusyayqa?,Quechua
¿Ratu ratulachu ĉhusyakunki?,Quechua
¿Achkatachu ĉhusyakunki manaqachu pitilata?,Quechua
¿ĉhusyakutikqa nananchu?,Quechua
¿Mana agwantaypaqtachu nanan?,Quechua
¿Pasachishuyanchu?,Quechua
¿Imanutataq?,Quechua
¿Kada diya ayka kutitaq?,Quechua
¿Manachu jwirakuyta puytinki?,Quechua
¿Imurastaq jwirakushayki?,Quechua
¿Imanutaq karan jwirakushaykiqa?,Quechua
¿Yawarllachu? ,Quechua
¿Chakillachu?,Quechua
¿Lawsallachu?,Quechua
¿Ñushitachu rikarayki jwirakushaykipiqa?,Quechua
¿Imanutaq karan?,Quechua
¿Atunchu manaqachu llampitu?,Quechua
Samay.,Quechua
Iksaminashayki. ,Quechua
Unaqman chapakuy,Quechua
Pachaman chapakuy,Quechua
Qichqaykikunaman chapakuy,Quechua
Aqruykita kiĉhay.,Quechua
Qalluykita lluqshichimuy.,Quechua
Kunkaykita kuychiy. ,Quechua
Tuqayniykita iqachikuy.,Quechua
Pukĉhiray,Quechua
Binsikasha yupay amayniykita lluqshichiy,Quechua
Amayniykita ruriman tantar ama itakamuychu,Quechua
Amaynikita itakamuy,Quechua
Qusukuy,Quechua
Qashan qusukuy,Quechua
Rikraykita alsay,Quechua
Ankallalla usuray,Quechua
Qichqapi usuray,Quechua
Ama manchakurchu qasila kay.,Quechua
Rikashushaq rupawanchu kayanki kanqa nir.,Quechua
Prisyunniykita rikar yaĉhashaq,Quechua
Pulsuykita kamashaq. ,Quechua
Llashayashaykita rikashun.,Quechua
Makiykiwan rikachimay imaykitaq nanayan.,Quechua
¿Kaypichu nanayan?,Quechua
Shariy. ,Quechua
Makiykita paqakuy manaraq mikuyta kamakachiyar,Quechua
Makiykita paqakuy manaraq sirbanaykipaq,Quechua
Makiykita paqakuy qishaqta rikanaykipaq,Quechua
Makiykita paqakuy chayraq nasishata rikanaykipaq,Quechua
Makiykita paqakuy manaraq mikuyta kamakachiyar,Quechua
Makiykita pagakuy kaymanta mikur,Quechua
Makiykita pagakuy kaymanta pukllar,Quechua
Makiykita pagakuy kaymanta animalkunata aypasha kar,Quechua
Makiykita pagakuy kaymanta qishaqta rimidyarpis,Quechua
Makiykita pagakuy kaymanta wamrata chakichirpis,Quechua
Makiykita pagakuy kaymanta ĉhusyakur manaqa jwirakurpis.,Quechua
Waran waran pagakuy intiruykita,Quechua
Mikurqa kiruykita paqay,Quechua
Ama liri ĉhakilaqa puriychu,Quechua
Wasiykikunata intirunta pichay waran waran.,Quechua
Pichataqa rupachiy. ,Quechua
"Mana rupaypaq kaq pichakunataqa, uĉhkukur pampay. ",Quechua
Pichataqa ama riyumanqa itakuychu.,Quechua
Ama kurralniykiman wasiykimanqa yaykuchiychu kuchikunata.,Quechua
"Qusukur tuqakurqa, chay tuqakushaykitaqa pampay manaqa rupachiy",Quechua
"Qusukur, manaqa aqchikurqa, shimiykita imallawanpis arkakuy",Quechua
Yakuta upyanaykipaqqa naypaqtaqa timpuchiyraq. ,Quechua
Mikurqa matiykikunata paqay.,Quechua
Matiykikunataqa shumaqpi ĉhuray.,Quechua
Mikunaykitaqa ĉhuray shumaq llantukunapi.,Quechua
"ĉhawa mikuykunata, frutakunata imaqa pagay yaku timpushapi mikunaykipaqqa. ",Quechua
Tukuy aychata alli yanuy mikunaykipaqqa. ,Quechua
Ama mikuychu mikuy ismushakunataqa.,Quechua
Uk qishaq mikushan matikunataqa paqayjabunwan yaku timpuqwan ima.,Quechua
Ama animalkunataqa dijashunchu chay upyananchik yakupa yatankunapiqa. ,Quechua
"Ama jwirakuyllapachu maymantaĉhi yakuta upyanchik, chay shipchanpiqa. ",Quechua
Jwirakur uĉhkupi pampayllapa. ,Quechua
Kamaykipi samanki.,Quechua
Ama ima trabajutapis rurayraqchu. ,Quechua
Ama ĉhakraykiman trabajaqqa rinkiraqchu. ,Quechua
Achka yakuta upyay. ,Quechua
"Ushya mikuykunata mikunki: fidiyuta, kalduta, avinata, panta ima. ",Quechua
"Ama mikuychu kusa wirayjun, chaynulla asyaqniyjun mikuykunataqa",Quechua
Ama aĉhpikuychu. ,Quechua
"Shumaqta pampakur, raĉhpaykita yakakuy.",Quechua
Kay pastillata upyay yakuwan kimsa kuti kada diya. ,Quechua
Mikurna pastillaykitaqa upyay. ,Quechua
Manaraq mikuyar upyay pastillaykitaqa. ,Quechua
Mikuywan pullata upyay pastillaykitaqa. ,Quechua
Upyay pastillaykitaqa tukukanankaman. ,Quechua
Ashlila tukuq yupay karmapis ama dijankichu.,Quechua
Ashwan upyanki tukuchinaykikaman,Quechua
Nanachikur upyay rimidyutaqa. ,Quechua
"Itakuchishunatin, upyay rimidyuykitaqa.",Quechua
Ama saysi kutimanta mastaqa upyankichu kada diyaqa. ,Quechua
Kay ampullata ĉhurashayki.,Quechua
Mas tukurqa pustaman rinki. ,Quechua
Uk dukturta rikaq riy. ,Quechua
Hospitalman apashaykillapa.,Quechua
"¿Kasaduchu kanki, manaqachu mana?",Quechua
¿Ima tyimpumantapachataq Inkawasipi tanki?,Quechua
¿Ima gradupitaq kanki?,Quechua
¿Maydiyataq nasishayki? ¿Maypitaq?,Quechua
¿Michka tyimpunataq chaypi tanki?,Quechua
 ¿Amiguykichu? ¿Shipchaykimanta kaqchu? ¿Aylluykichu?,Quechua
"Qampa dirichuykimi kan, tukuy tapushushaykunata mana rimanarqa, upallala kidanaykipaq. ",Quechua
Qampa dirichuyki kanqa uk abugadu willar intrachishunanpaq. ,Quechua
¿Ayka wamrayjuntaq kanki?,Quechua
¿Imapitaq trabajanki?,Quechua
¿Michkatataq gananki? ,Quechua
¿Michkatataq midinki?,Quechua
¿Michkatataq yashanki?,Quechua
"¿Qampa dukumintuyki kanchu? Militar, etc.",Quechua
¿Kanchu más imata ninaykipaq?,Quechua
¿Aylluykikunawan allintachu kawsankillapa?,Quechua
¿Pitaq qischashusha? ¿lma diyana?,Quechua
¿Taytaykikunachu maqashun?,Quechua
¿Taytaykikunachu wipyashun?,Quechua
¿Taytaykikunachu kuytashun?,Quechua
¿Taytaykikunachu munashun?,Quechua
¿Taytaykikunachu llakipashun?,Quechua
¿Taytaykikunachu trabajachishun?,Quechua
¿Mayqantaq chay runawan kay nishuran?,Quechua
¿Munayankichu taytaykikunawan tikrakayta?,Quechua
¿Taytaykikunachu traguta upyan?,Quechua
¿Taytaykikunachu maqanakun? ¿Waran waran?,Quechua
¿Paychu qampa aylluyki?,Quechua
¿Pay musyashushachu?,Quechua
Willamay mañaqlla ima pasashanmatapis. ,Quechua
¿Maypitaq tataykikunaqa?,Quechua
¿Taytaykikunachu shamusha watukushuq?,Quechua
¿Warmiwanchu punushaykilla? ¿Mayqanwanna?,Quechua
¿Runawanchu punushaykilla? ¿Mayqanwanna?,Quechua
¿Washakaytachu kamarayki? ¿Imanuna?,Quechua
¿Mayqantaq willashusha chaytaqa?,Quechua
¿Yaĉhayankichu pimi suwashusha bakaykita nirmapis?,Quechua
¿Yaĉhayankichu pimi suwashusha turuykita nirmapis?,Quechua
¿Yaĉhayankichu pimi suwashusha pishquykita nirmapis?,Quechua
¿Yaĉhayankichu pimi suwashusha allquykita nirmapis?,Quechua
¿Yaĉhayankichu pimi suwashusha radyuykita nirmapis?,Quechua
"Kunfyakay nuqapi, yanapashuytami munani. ",Quechua
Nuqa fiscal kani. Chaymi nuqaqa trabajayani tukuy imatapis allita yaĉhanaykaman.,Quechua
Kayqami dibaldila.,Quechua
Dukturmi iksaminashunqa.,Quechua
¿Imaykillaqachu nanayan?,Quechua
¿Llakiyankichu?,Quechua
¿Imapaqtaq waqayanki?,Quechua
¿Ayka añuyjun kartaq runawan karayki?,Quechua
¿Piwantaq pununki?,Quechua
¿Ruriyjunchu kanki?,Quechua
¿Imatataq rurarayki chay diyaqa?,Quechua
¿Imataq pasashusha? Tukuyta parlamay,Quechua
¿Maypitaq karayki? ¿Maypitaq karayki tutaqa?,Quechua
¿Imatataq rurashayki quya tukuy unaqqa?,Quechua
¿Mayqanwantaq karayki?,Quechua
¿Piwantaq karayki?,Quechua
¿Mañakuraykichu yanapashunanpaq?,Quechua
¿Imapaqtaq mana mañakurayki yanapashunanpaq?,Quechua
¿Ima urastaq karan?,Quechua
¿Michka runakunataq karan?,Quechua
¿Maypitaq ĉhakraykiqa?,Quechua
¿Ima tyimpumantataq purichinki pachaykitaqa?,Quechua
¿Imakunatataq ruranki chay pachaykipiqa?,Quechua
¿Mayqankunataq masqa rikaran chay pasashaqtaqa?,Quechua
¿Michkataq qillayniyki karan?,Quechua
¿Imanutaq lisyakashayki? ¿Mayqantaq lisyashusha?,Quechua
Uk atoqshi purikänaq allqapa. Chayćhöshi üshata qewata mikïkaqta tarinaq. Atoqshi üshata manchakächinaq. Chayshi ayqikur üshaqa aywakunaq. Atoqshi üshapa qepanta cörrir aywanaq charipänanyoq. Chayćhöshi michikoq wamra atoqta rikaskir qayaränaq: “¡Ama üshätaqa!” Niykaptinpis ashkallanta mikuskinaq.,Quechua
Chayshi mamanqa wamranta tapunaq: “¿Maytaq ashkallanchikeqa?”,Quechua
“Atoqmi sugapumashqa” nir waqakunaq wamraqa. Chayshi maman wamranta shoqanaq: “Ama waqëku. Awkamï kayman puñukushunpaq” nir. ,Quechua
ATOQWAN ÜSHA ,Quechua
CONËJUWAN ATOQ,Quechua
Uk punćhöshi conëjuwan atoq puriykäyänaq. Chayćhöqa conëjuta atoq ashipänaq. Chayshi atoq conëjupa ananman saltanaq mikunanpaq: “¿Üshaku kanki?” nir. ,Quechua
Atoq conëjuta mikïkaptinnashi tarinaq duëñun. Tariskiptenqa atoq cörrikunaq munti rurinpa. Duëñunqa asheq aywarqa conëjunta manana tarinaqku.,Quechua
Uk punćhöqa aka yurikänaq. Chayshi atoqqa asikunaq: “Kananqa akata mikushaqmi” nir. Mikuskerqa pakäkoq aywanaq. Payqashi mana musyanaqku aka venënuwan kanqanta. ,Quechua
Chayshi akanta mana tarirna duëñun aywanaq asheq munti rurinpa. Payqa ninaq: “¿Imataq asyan?” Munti rurinćhö wañushqata tarinaq atoqta. Chayshi lädunpa päsakunaq: “Kayqa asyäkun” nir.,Quechua
AĆHKË ,Quechua
"Uk runashi ishkë wamrayoq kanaq. Chay wamrakuna achka mikoq kayänaq. Chayshi taytankunaqa apayänaq qaqapa itakoq, alporjanwan itakäkuskir wañukuyänanpaq. Wamrankunaqa arkakäyänaq qaqa pullanninćhö. ",Quechua
"Chayćhö arkakaskir condorta rikaskir qayakuyänaq: “Tiyï condor, orqaskamë pampallaman”. Chaypita condor aywanaq wamrakunata orqoqnin. Aparikuskir pampaman churanaq. Chayćhö dëjaskir awkunaq condorqa.",Quechua
Chaypita uk pishqu papapa waytanta amushqa eqamunaq. Wamrakunaqa aćhkïta munar qatipäyänaq. Chayshi uk pampaman ćhayänaq achka papaman. Wamrakunaqa papata orquyänaq mikuyänanpaq. ,Quechua
"Chayshi wamrakunaqa rikayänaq uk wasita qontëkaqta. Chayta rikaskir panenqa turinta ninaq: “Aywë mankata mañakamunki ninantawan yanukushunpaq, papata mikushunpaq”. Turenqa aywanaq mankata mañakoq. Chayshi aćhkëpa wasin kanaq. ",Quechua
Aćhkëqa ninaq: “Aywë. Panikita ninki kayllaman shamunman yanukoq”. Chayshi wamraqa paninta pushakuskir aywanaq aćhkëpa wasinman. ,Quechua
Aćhkëqashi papapa rurillanta mikoq kanaq. Wamrakunataqa sipranillanta qaraq mikuyänanpaq. Paqasqa ollqu wamrawan puñuyänaq. Warmikaqqa wawantawan puñuchinaq. ¡Chay paqasqa ollqukaq wamrataqa mikunaq!,Quechua
Waräninchikaqa tullullantana panin tarinaq.,Quechua
"Aćhkënashi wamranta yächinaq: “Aywë. Pelorćhö yakuta timpuchinki. Chaypita waqtar ninki: ‘¡Rikakï! Chay pelorćhömi achka shumaq sarsillukuna kaykäyan’. Neqnölla wamrata tanqaskinki, chaypita noqa mikukunäpaq”.",Quechua
Aćhkëpa wamranqa chaynö niptin uknenqa ninaq: “Qam mä primëru rikakï”. Rikakïkaptin tanqaskinaq aćhkëpa wawallanta. Chay wamrata tanqaskir turinpa tullunta aparikuskir aywakunaq irkaman.,Quechua
Aćhkëqa mikïkarnashi wamranta reqsinaq. Chaypitaqa qatiparnin aywanaq chay warmi wamrata.,Quechua
"Wamraqa irkaman ćhaskir qayakunaq: “Tayta Dios, qori waskëkita kaćhaskamï”. Chayshi Diosqa qori waskata kaćhämunaq. Chay waskawan chutanaq wamrata altu ciëluman.",Quechua
Aćhkëpaqqa uk shawchi waskata ukushnintawan kaćhämunaq. Ukushqa aćhkë pullanćhöna kaykaptin waskata mutunaq. Aćhkëqa shikwëkar qayarar ninaq: “Pampallaman wayllallaman”. Niykarpis shikwanaq rumikuna kashakuna rurinman. ,Quechua
Wamraqa ciëluman ćhaskerqa Diosta waqapänaq: “Turëta kutikëkachipamë” nir.,Quechua
Diosqa ninaq: “Ama rikankiku. Turikeqa kutikanqami”. Niykaptinpis wamraqa rikanaq turinta rurakëkaqtana. Chaypita turin allqu rurakänaq. Tayta Diosqa ćhaskamurqa tapunaq: “¿Rikarëkinäćhi? Chaymi allqu rurakashqa”.,Quechua
WARMIWAN ÖSU,Quechua
Uk warmishi aywanaq arata ashikoq. Chayćhö yurikänaq uk ösu. Chaypitaqa warmita apakuskir aywanaq maćhëman. Chay maćhëćhöqa warmita kachinaq. ,Quechua
Unëna täkuyänaq warmiwan. Chayshi ösupa churinta waćhanaq. ,Quechua
Uk punćhöshi warmi ösuta mandanaq yakuman. Ösoqa arnëruwan aywanaq yakuta apamoq. Cäda ćhaqamuptinshi ushakaqlla yaku. Chaynö kanqanyoqshi wawan mamanta orqunaq maćhëpita.,Quechua
Maćhëman kuterqa ösoqa mana tarinaqku warminta wawantawan. Chayshi ösoqa aywanaq warminpa qepanta. Ćhänaq warminpa wasinman. Payqa rikaskerqa pakäkunaq. Chayshi ösoqa päsakunaq lädunpa. Mana malisyanaqku warmin kikinpa wasinćhö pakaranqanta.,Quechua
ATOQWAN CONËJU ,Quechua
Uk punćhöshi atoq tarinaq conëjuta puñïkaqta. Rumiwan sitanaq waqtata rikćhat.,Quechua
Conëjoqa shärinaq manchakashqa: “¿Pitaq kayćhö karan?” Atoqqa pakäkunaq. Conëjoqa atoqta tariskir tapunaq: “¿Qammi musyanki pï sitamanqanta?”,Quechua
Atoq ninaq: “Manam rikashkäku”,Quechua
Conëjoqa tapunaq: “¿Imanirtaq pakäkurëki?”,Quechua
Atoq ninaq: “Noqa mana karäku. Mallaqnämi. Qamta munä mikïnikta”.,Quechua
"Chaypita conëjoqa säfakunaq ukläpa. Atoq asheq aywarqa manana tarinaqku. Maćhëćhö conëju pakaranqanyoq, atoqqa lädunpa päsakunaq.",Quechua
Chaypitaqa atoqqa irkaman ćhaskir uk conëjuta rikanaq. Ukninkaq conëjoqa ukläpa ayqiykunaq. Atoqqa “Mikushaq” nir shuyaränaq. Chaypitaqashi allaw atoq irkaćhö wañuskinaq mallaqpita.,Quechua
JUAN ARAGAN,Quechua
Uk punćhöshi Juan Aragan mamanwan aywayänaq pasyaq tunapa. Chaypitaqa purir qellanaskinaq. Chayshi mamanta ninaq: “Noqami mallaqnä”. Chaynö nerqa wasinpa aywanaq mikukamoq.,Quechua
Mamanna piñapänaq: “¡Aragan kanki wamraqa!” nir.,Quechua
Wasinman ćhaskir Juan mamanta ninaq: “Noqami äbasta munä”. Chaynö niskerqa Juan aywanaq waqtapa. Pukllakuskirnaqa wasinman kutikunaq.,Quechua
Chaypita maman tapunaq: “¿Imanirtaq aragan kanki?”,Quechua
"Chaynö niptin yapë Juan mamanwan aywayänaq pasyakoq tunapa. Purikuskirnaqa wasiman kutiyta munar Juan yapta waqtanaq: “Mamë, noqami qasäkö” nir.",Quechua
Chaynö niptenqa maman ninaq: “Qamqa qella karmi rasunpa Juan Aragan kanki”.,Quechua
MISHIWAN UKUSHKUNA,Quechua
Uk punćhöshi mishi tarinaq kinsa ukushkunata. Chayshi ishkë ukushkunaqa pakäkuyänaq rumi rurinman. Ukninkaqqa manchakashqa parlapänaq mishita: “Kananćha mikuyämanki” nir. Misheqa ninaq: “Kinsëkitami mikuyäshëki”.,Quechua
Chayshi ishkë pakäkoqkunaqa yarquskiyänaq rumikuna rurinpita. Misheqa chaykunatapis welta ninaq: “Kananmi mikuyäshëki llapëkita”. Chaypita parlapänaq: “Aywä kutimoq. Kayllaćhö shuyäyämanki. Manaćhari mikuyäshëkiku”.,Quechua
Chaypita kinsan ukushkunaqa yaćhachinakuyänaq: “Kanan kutimuptin mishita nishun: ‘Noqakunami munayä amïgu kayäshunpaq. Qampaqpis mikunëkita ashiyämushaq kay wasićhö llapanchik mikunanchikpaq. Kananqa aywë rikakunki mas ukushkunapaq’ ” nir.,Quechua
Chaypita wasićhö kaq ukushkunaqa pachäyänaq imanö mishita wañuchiyänanpaq kaqta. “Kutimunqanami misheqa” niyänaq. “Ćhämuptin ukninchik nishun: ‘Kayćhö mikunëki. Qamćha mallaq kaykanki’ nir”.,Quechua
Misheqa ćhaskiptenqa uk matićhö venënuyoq aychata qaraskiyänaq. Mallaqnashqa kar qarayanqanta mikukuskinaq. Chaywanmi misheqa wañukuskinaq.,Quechua
UKUSHWAN CHIPSHAKUNA,Quechua
Uk punćhöshi warmipa chipshankuna mikukïkäyänaq. Chayshi ukush yurikänaq chipshankunapa mikunanta rikärëkar. Chaypita chipshakuna mikunanta dëjaskir aywakuyänaq. ,Quechua
Duënunqa ukushta tarinaq chipshankunapa mikunanta mikïkaqta. Ukushqa duëñunta rikaskir manchakar ayqikunaq.,Quechua
Warmeqa ninaq: “Kayllamishari chipshäpa mikunanta ushan” nir. Niskerqa warmeqa wasin rurinman kutishqa venënuta apamoq ukushpaq churananpaq.,Quechua
Wasinpita yarqaskamuptenqa chipshankuna mallaqnar waqayänaq. Waqayaptinnashi warmeqa mana yarpar ukushpaq kaqta venënuta itapuskinaq. Chayta mikukuskirnashi llapan chipshankuna wañur ushakäyänaq.,Quechua
Chaypitaqa chay warmeqa waqar llakir chipshankunapaq kaykaptenqa ukushqa ćhänaq asiparnin: “Noqapaq kaqta qaraskinki chipshëkita. ¡Allaw warmi! Kananmi chipshëkipa mikunanta ushashaq”.,Quechua
ATOQWAN CONDOR,Quechua
Atoq condorta ninaq: “Aku anaq irkaman cörrishun”. Chaynö niptenqa condorqa “Akuri” nir aywayashqa.,Quechua
Ćhaskerqa atoq condorta ninaq: “Aku cörrishun gänanakur. Qam gänamarqa noqata mikumanki. Noqa gänarnikeqa qamta mikushëki”. Chaypitashi cörreq churakäyänaq.,Quechua
Condorqa cörriyta gänëkänaqna. Shaykurnaqa ninaq: “Samashun”. Chaypita atoqqa condorta gänanaqna. Condorqa “¿Gänëkamankinaku?” nir tapunaq. Chaynö nir condor manchakänaq: “Kananćha mikumanqa” nir.,Quechua
Atoqqa alläpa cörrir gänëta munanqanćhö wañunaq. Condor aywarqa atoqta wañushqata tariykur paćhan unta mikukuskir aywakunaq.,Quechua
CONËJUWAN ATOQ,Quechua
Uk paqasshi qenćhaman mikoq aywanaq conëju. Waräninchikaqa qenćha duëñun mikushqata rikar ninaq: “¿Ima animalraq qewäta mikukun?” nir. Chaypitaqa aywanaq trampata churaq conëjuta aćhkunanpaq.,Quechua
Conëjoqa yapë kutinaq mikoq. Chayćhöqa trampa aćhkuskinaq.,Quechua
Chayćhöshi atoq yurikänaq: “¿Imata rurëkanki chayćhö?” nir. Chaypitaqa conëju ninaq: “Chay awkishmi wamranwan casarachimëta munan. Noqa mana munäku casarëta wamranwan. Chaynö niptëmi watamashqa”.,Quechua
Atoqna ninaq: “Noqata watëkamë chay trampaman”. Chaypitaqa atoqta trampaman wataskir awkunaq conëju.,Quechua
Chaypitaqa qenćha duëñun yurikaskir rabianaq: “Qammi kanki qenćhäćhö mikukoq” nir. Uk rätumanpaqa awkish yapë yurikänaq aćhaćhëkaq fiërrun aćhkushqa. Chaywanqa aywanaq maqaq atoqta.,Quechua
Chaypitaqa atoq waqanaq: “¡Ama maqamëku!” Chaynö niykanqanćhö atoqqa kaćhakänaq. Chaypitaqa atoq ayqiykur yarpaćhakur ninaq: “Mana noqa kaptëqa wañuchiyanmanmi karan chay conëjutaqa” nir. Chaynö nirpis manana rikanaqnaku conëjuta,Quechua
ATOQWAN CONËJU,Quechua
Uk punćhöshi atoq conëjuta tarinaq. Chayshi atoqqa tapunaq: “¿Imata rurëkanki?” Niptin conëjoqa ninaq: “Manami tarëkö ni imatapis mikunäpaq”.,Quechua
Atoqqa ninaq: “Aku noqa qarashëki uk sanaoryata”. Niptenqa conëjoqa: “Qanmi kanki alli runa. Kananqa amïgu kashun” ninaq. Chaynö niptenqa atoqqa kushikunaq. ,Quechua
Conëjoqa atoqta ninaq: “Aku tanaqpa täkoq”. Chaynö niptenqa: “Akuri” ninakur aywayänaq.,Quechua
Chayshi conëjoqa irkaćhö täkïkäyaptenqa atoqta tanqaskinaq qaqaman kućhpakar awkunanpaq. Chayshi conëjoqa atoqta asiparnin kanaq: “Kananmi wañuskachë atoqtaqa” nir awkushqa.,Quechua
ATOQWAN ÜSHA,Quechua
Atoqshi yunkapa mallaqnashqa puriykänaq mana ni imatapis tarir. Chaypashi warmi aywanaq üshanta michikoq. Chay michiykïkanqanman atoq ćhänaq. Atoq mallaqnashqa karqa üshanta aćhkoq chika kaniskinaq.,Quechua
Warmeqa sas rumita aćhkuskir atoqtaqa sitëkunaq umaćhö ñakat. Chay atoqqa yaćhëyoq kar wañoq tukunaq. ,Quechua
Chaymanna warmipa allqunqa ćhaskerqa atoqta qaraćhakuskir apanaq maqanakuyänanpaq. Chaynö apanakïkäyaptenqa atoq allaw allquta kanir ushaskiptenqa wañukunaq.,Quechua
"Chaynö ruraskerqa atoq kutishqa üshanman. Warmeqa atoqta rikashqa üshanta achkïkaqta. Ćhanqanyoqqa atoqqa üshanta mikur ushaskinaq. Paćhan unta mana aypa ayqikunanyoq, chay warmeqa qatiparnin atoqta charipänaq. Charipëkurqa umanćhö yapë sitëkunaq wañut atoqtaqa. Warmeqa wañuskacherqa üshanta qatikuskir awkunaq wasinman.",Quechua
ATOQWAN CONDOR,Quechua
Uk condorshi täkïkänaq rumi ananćhö. Atoq condorta rikaskerqa kushishqa aywashqa “Kananmi mikushaq” nir. Atoqqa rumiman yaykïkar ishkiskamunaq.,Quechua
Chayna condorqa ninaq: “Manami aypaku yaykamunki. Noqa pärimushaq pachaman”.,Quechua
Atoqqa qayanaq: “Pärimï parlashunpaq imallatapis”,Quechua
Chaynö niptinshi condorqa pachaman pärimushqa “Kananqa parlakushun” nir.,Quechua
Atoqqa nishqa: “Apamë alëki qopillanćhö rumi ananman”,Quechua
