Texto,Idioma
"No, sólo por religioso.",Español
"No, sólo convivimos.",Español
¿Usted se ha casado por religioso?,Español
¿Usted se ha casado en la iglesia?,Español
"Sí, me he casado por religioso.",Español
"Sí, me he casado en la iglesia.",Español
"No, por civil.",Español
"No, sólo convivimos.",Español
¿Es usted casada?,Español
¿Tienes esposo o (marido)?,Español
"Sí, tengo esposo",Español
Estoy casada.,Español
¿Tiene hijos?,Español
Sí tengo hijos,Español
No tengo hijos.,Español
¿Tiene hijas?,Español
Sí tengo hijas.,Español
No tengo hijas.,Español
¿Cuántos hijos tiene?,Español
Tengo 3 hijos.,Español
¿Cuántos hombres?,Español
¿Cuántas mujeres?,Español
Tengo 1 hombre y 2 mujeres.,Español
¿Es usted casada?,Español
No estoy casada.,Español
Vivo con mi pareja.,Español
Convivo con mi pareja.,Español
¿Tiene hijos?,Español
"Sí, tengo hijos",Español
¿Sus hijos son de su actual pareja?,Español
"No, son de mi pareja anterior.",Español
"Sí, son de mi pareja.",Español
No tengo esposa.,Español
No tengo pareja.,Español
No tengo mujer.,Español
Soy separado.,Español
Soy abandonado.,Español
Soy divorciado.,Español
No tengo esposo.,Español
No tengo pareja.,Español
No tengo marido.,Español
Soy separada.,Español
Estoy abandonada.,Español
Soy divorciada.,Español
¿Tiene esposo?,Español
¿Tiene esposa?,Español
Mi esposo ha fallecido.,Español
Mi esposa ha fallecido,Español
Soy viuda.,Español
Soy viudo.,Español
Mi esposa ya ha fallecido,Español
Mi esposo ya ha fallecido.,Español
Adulto,Español
Hombre,Español
Hombre joven,Español
Hombre mayor,Español
Mujer,Español
Mujer joven,Español
Mujer mayor,Español
Gente,Español
Anciana,Español
Anciano,Español
Bebé,Español
Recién nacido,Español
Lactante,Español
Niño/a pequeño/a,Español
"Niño, muchacho/a (entre cinco y doce años)",Español
Muchacho,Español
Muchacha,Español
Adolescente mujer,Español
Adolescente varón,Español
Amigo (de un varón),Español
Amiga (de un varón),Español
Amigo (de una mujer),Español
Amiga (de una mujer),Español
Nacer,Español
Crecer,Español
Vivir,Español
Embarazada,Español
Envejecer (varón),Español
Envejecer (mujer),Español
Edad (años),Español
Morir,Español
Hijo varón del padre,Español
Hermano del varón,Español
Hermana del varón,Español
Hermano de la mujer,Español
Hermana de la mujer,Español
Hijo o hija del padre,Español
Hija del padre,Español
Hijo o hija de la madre,Español
Hijo varón de la madre,Español
Hija de la madre,Español
Familia,Español
Pariente,Español
Madre,Español
Madres,Español
Padre,Español
Padres,Español
Abuela,Español
Abuelo,Español
Nieto,Español
Nieta,Español
Madrastra,Español
Padrastro,Español
Padrino / Madrina,Español
Hijo/a mayor de la madre,Español
Hijo/a mayor del padre,Español
Hijo/a menor de la madre,Español
Hijo/a menor del padre,Español
Primogénito de la madre,Español
Primogénito del padre,Español
Adoptado (si el adoptante es un varón),Español
Huérfano,Español
Huérfano de padre,Español
Huérfano de madre,Español
Casada,Español
Casado,Español
Marido,Español
Esposa,Español
Soltera,Español
Soltero,Español
Madre soltera,Español
Mujer separada/divorciada,Español
Mujer abandonada,Español
Hombre separado/divorciado,Español
Hombre abandonado,Español
Padre soltero,Español
Viuda,Español
Viudo,Español
Vecino de casa,Español
Amar,Español
Querer,Español
"Amado, amada",Español
Amar con ternura,Español
Amante (de un hombre),Español
Amante (de una mujer),Español
Obedecer,Español
Casarse,Español
Separarse/Divorciarse,Español
Abandonar,Español
Abandonado,Español
Reconciliarse,Español
Reconciliar,Español
"Quiero separarme, doctor.",Español
¿Qué ha pasado? ¿Por qué quiere separarse?,Español
Ya no puedo vivir con mi esposo.,Español
Cuénteme su problema,Español
Él es alcohólico.,Español
Siempre está tomando alcohol y no me da dinero para cocinar.,Español
¿Está casada?,Español
"No, doctor",Español
¿Hace cuánto tiempo vivían juntos?,Español
Hace 3 años,Español
¿Por qué quiere separarse?,Español
¿A raíz de qué desea separarse?,Español
Mi esposo me ha pegado,Español
Mi esposo me pega.,Español
No es un buen padre,Español
No es un buen esposo.,Español
No me trata bien,Español
Me trata muy mal,Español
Ella no es una buena madre.,Español
Ella no es una buena esposa.,Español
No me da (su) plata,Español
Me quita mi dinero,Español
Malgasta el dinero.,Español
No se preocupa por sus hijos (reclamo de un varón).,Español
No se acuerda de sus hijos (reclamo de un varón).,Español
No se preocupa por sus hijos (reclamo de una mujer),Español
Mi esposo golpea a nuestros hijos,Español
Mi esposa golpea a nuestros hijos,Español
Mi esposa no cría bien a mis hijos,Español
Mi esposo no cría bien a mis hijos.,Español
Ya tiene otra mujer.,Español
Me está engañando con otro hombre.,Español
Me está engañando con otra mujer,Español
Algunos días no viene a dormir.,Español
Tiene un amante.,Español
Él es un borracho,Español
Él está en la cárcel.,Español
Ella está en la cárcel.,Español
¿Quiere usted separarse definitivamente?,Español
¿Lo ha pensado bien?,Español
¿No se va a arrepentir después?,Español
¿Tienen alguna propiedad en común?,Español
¿Cuántos hijos tienen ustedes?,Español
¿Quién se va a quedar con los hijos?,Español
¿Cómo va a conseguir dinero para mantener a sus hijos?,Español
¿Cuántos años han vivido juntos?,Español
"Buenas tardes, señora",Español
"Doctor, ¿cómo está?",Español
Doctor tengo un problema,Español
La escucho.,Español
"Mi esposo tiene otra familia, tiene otros hijos y no me da nada para mis hijos",Español
¿Están casados?,Español
"Sí, estamos casados. Todavía no nos hemos divorciado.",Español
¿Cuántos años tienen sus hijos?,Español
Tienen 5 y 10 años,Español
¿En qué trabaja su esposo?,Español
Trabaja de chofer de bus,Español
Usted puede presentar a una demanda por alimentos,Español
He venido a presentar una demanda por alimentos.,Español
¿En qué trabaja el padre de sus hijos?,Español
El vende granos de la chacra al pueblo.,Español
¿Nunca le ha pasado una pensión?,Español
"Sí, pero solo me da 50 soles al mes.",Español
No me da dinero.,Español
No me ayuda con los niños.,Español
"Dice que como no estamos casados, no está obligado a pagar.",Español
¿Dónde vive él?,Español
¿Los niños han sido reconocidos por su padre?,Español
"Sí, doctor.",Español
"Señora, sus hijos sí tienen derecho a una pensión de alimentos.",Español
¿Cuánto gasta usted mensualmente en sus hijos?,Español
La demanda de alimentos no se refiere sólo a la comida.,Español
"La demanda de alimentos también incluye los gastos de ropa, colegio y otros gastos.",Español
No necesita abogado para este juicio,Español
Solamente llene este formulario.,Español
"Señora, su nombre no está completo en la partida de nacimiento de su hijo",Español
¿Cuál es el problema?,Español
La partida no tiene sus dos apellidos.,Español
Tendrá problemas para solicitar pensión de alimentos.,Español
No podrá inscribirlo en el colegio.,Español
Tendrá problemas para otros trámites.,Español
¿Qué tengo que hacer?,Español
Tiene que rectificar la partida de nacimiento de su hijo,Español
Tiene que colocar su nombre completo en la partida.,Español
¿A dónde tengo que ir?,Español
A la oficina de registro civil de la municipalidad donde nació su hijo.,Español
Lleve la copia de su DNI y copia de la partida,Español
Lleve la copia de la partida de su hijo.,Español
Dinero,Español
Trabajar,Español
Colega o compañero de trabajo,Español
Comprar,Español
Comprador,Español
Vender,Español
Vendedor,Español
Regalar,Español
Precio,Español
Prestar,Español
Fiar,Español
Endeudarse,Español
Fiarse,Español
Deuda,Español
Deudor,Español
Prestamista,Español
Devolver /responder,Español
Devolver una deuda,Español
Pobre,Español
Volverse pobre,Español
Pobreza,Español
Salir de la pobreza,Español
Indigente,Español
Progresar/mejorar/prosperar,Español
"Sobresalir (ir delante de otros, no solamente en lo económico).",Español
Rico,Español
Persona que mejora su situación,Español
Mi vecino me debe 1500 soles.,Español
¿Tiene algún documento escrito?,Español
¿Hicieron algún recibo?,Español
No me paga el alquiler desde hace tres meses.,Español
Todo el tiempo dice que me va a pagar.,Español
Le adelanté 2000 soles a los albañiles,Español
Todavía no han hecho nada.,Español
Parece que se han ido con mi dinero.,Español
Quizás pueda llegar primero a una conciliación.,Español
Antes que haya un problema mayor podrían arreglar.,Español
"Aló, policía",Español
"Aló, jefe",Español
Dígame,Español
Jefe hay una accidente en la carretera.,Español
¿Qué ha pasado?,Español
Hubo un accidente,Español
Hubo un choque.,Español
Un bus con pasajeros se ha caído al barranco.,Español
Un bus con pasajeros se ha caído al río.,Español
Dos autos han chocado y hay 2 personas muertas.,Español
Un camión ha atropellado a una señora.,Español
¿Cuál es el nombre de la carretera?,Español
La pista que va a Sicuani,Español
Atropellaron a mi hijo (habla el padre).,Español
Atropellaron a mi hijo (habla la madre).,Español
¿Sabe cómo es el carro?,Español
"Sí, tengo el número de placa",Español
El número de la placa es N-345.,Español
¿Dónde sucedió el accidente?,Español
En el terminal donde salen los buses para Canas.,Español
¿Pudo identificar al chofer?,Español
"Sí, está detenido.",Español
"No, el chofer se escapó.",Español
El chofer está muerto.,Español
¿Asumió algún gasto el chofer?,Español
¿El chofer le pagó algo?,Español
No ha pagado nada.,Español
¿Tiene las recetas de la curación?,Español
¿Tiene las recetas del hospital?,Español
"Sí, aquí están las recetas del hospital.",Español
¿Cobró su seguro del SOAT?,Español
No he cobrado nada.,Español
¿Sabe cobrar su seguro del SOAT?,Español
"No, ayúdeme en eso.",Español
¿Qué es el SOAT?,Español
El SOAT es un seguro por accidentes.,Español
Le dan un dinero cuando ha tenido un accidente de carro o bus.,Español
Debe ir a la empresa de seguro del carro.,Español
Lleve la copia de la denuncia policial.,Español
Lleve la copia del certificado de defunción.,Español
El accidente fue hace 8 meses. ¿Puedo cobrar el seguro?,Español
"Sí, tiene hasta 2 años para reclamar.",Español
"Sí, puede cobrar el seguro hasta 2 años después del accidente.",Español
¿Cómo le dañaron su propiedad?,Español
Mis sembríos fueron arrasados.,Español
Mi maíz fue arrasado.,Español
¿Qué produjo el daño?,Español
Lo hicieron los animales de mi vecino.,Español
Fueron las vacas de mi vecina.,Español
Fue la maquinaria de una empresa.,Español
¿Conversó usted con el dueño de los animales?,Español
¿Qué dice el dueño?,Español
¿Qué dice el chofer?,Español
¿Qué dice el dueño del automóvil?,Español
La empresa no quiere arreglar.,Español
No quiere hablar,Español
El chofer dice que él no tiene la culpa.,Español
El chofer dice que mi hijo tuvo la culpa,Español
El chofer quiere dar muy poco,Español
Quiere dar poquísimo dinero.,Español
"¡Señora, está golpeada!",Español
"¿Señora, qué ha sucedido?",Español
Mi marido me ha pegado.,Español
Ayer me pegó mi esposo.,Español
¡Tienes que hacerte atender!,Español
La acompaño a la posta /centro de salud /hospital.,Español
¿Ha ido al médico legista?,Español
"Sí, ya fui. Acá está el resultado.",Español
No. ¿Dónde está el médico legista?,Español
¿Qué es un médico legista?,Español
El es el que va hacer el acta dando fe de lo que te han hecho.,Español
"¡Por favor, lléveme al médico legista!",Español
¿En qué lugar te agredieron?,Español
En mi casa,Español
En mi chacra,Español
En la calle,Español
¿Cuando ocurrió la agresión?,Español
Hace un momento,Español
Anoche,Español
Ayer,Español
Han sido varias veces,Español
¿En qué circunstancias le pegó su esposo?,Español
De la nada,Español
Porque le he contestado.,Español
Cuando no he querido acostarme con él.,Español
Cuando no hice lo que él quería,Español
Cuando comenzamos a discutir.,Español
Cuando le pedí plata.,Español
Cuando yo iba a salir de la casa.,Español
Cuando estaba borracho.,Español
¿Desde cuándo le golpea?,Español
¿Es la primera vez que pasa?,Español
Es la primera vez,Español
¿Le ha pegado antes?,Español
"No, nunca me había pegado.",Español
Todos los días me pega(más afligida).,Español
¿Cuántas veces ha pasado?,Español
Muchas veces ya.,Español
Me ha pegado demasiado.,Español
Me ha pegado muchísimo.,Español
Me ha botado de la casa.,Español
¿Ha denunciado antes?,Español
"Sí, el mes pasado.",Español
"No, primera vez que vengo.",Español
¿El estaba borracho cuándo le pegó a usted?,Español
"Sí, llegó borracho.",Español
Él es un borracho.,Español
"No, estaba sano.",Español
Había tomado un poco (estaba medio mareado).,Español
¿Su esposo toma?,Español
Bebe demasiado.,Español
Es un borracho.,Español
¿Cómo le ha pegado?,Español
Me ha dado una bofetada.,Español
Me ha dado de bofetadas.,Español
Me ha jalado los cabellos,Español
Me ha jaloneado,Español
Me ha dado de patadas,Español
Me ha golpeado en el suelo.,Español
Casi me ha matado.,Español
¿Con qué le golpeó?,Español
Con un palo me pegó,Español
¿Su esposo la obliga a tener relaciones sexuales?,Español
"Si, me obliga",Español
¿Su esposo la insulta?,Español
"Sí, me insulta todo el tiempo.",Español
Me humilla.,Español
Todos los días me grita,Español
Todos los días me insulta,Español
Me obliga a hacer cosas que no quiero,Español
¿Por qué no vino antes?,Español
Pensé que no volvería a pasar,Español
Me prometió no volver a pegarme.,Español
Me prometió que cambiaría.,Español
¿El paga todos los gastos de la familia?,Español
¿Él es el único que provee económicamente?,Español
"Sí, yo no traigo dinero Arí.",Español
¿Desea separarse?,Español
"No, quién me va a ayudar con mis hijos.",Español
"No, quién me va a dar el dinero para alimentar a mis hijos.",Español
¿Tiene familiares que le puedan ayudar?,Español
"No tengo a nadie. Tengo miedo, doctora.",Español
No quiero volver con él.,Español
¿En qué le podemos ayudar con su problema?,Español
Quiero que no lo vuelva a hacer.,Español
Quiero que le llamen la atención para que reflexione.,Español
¿Quiere usted que se vaya de su casa?,Español
"Sí, porque ya no puedo más con él.",Español
Sí porque ya no quiero reconciliarme con él.,Español
"Sí pues, qué más puedo hacer",Español
"Que se quede, pero repréndanlo",Español
¿Quiere que ordenemos que el agresor salga de la casa de usted?,Español
"Sí, doctor, sería bueno",Español
Usted está en una situación grave.,Español
Está usted en peligro de muerte (Si la situación lo amerita).,Español
Su esposo la puede matar (Si la situación lo amerita).,Español
Todos le tenemos miedo.,Español
Guarde (esconda) los objetos peligrosos.,Español
"Tenga a la mano ropa, zapatos.",Español
"Si usted nos llama, vendremos de inmediato.",Español
¿Tiene usted otro lugar a dónde ir?,Español
"Sí, donde mis padres.",Español
Vaya a la casa de sus padres.,Español
Vaya a la casa de su hermana,Español
Vaya a la casa de sus vecinos.,Español
"No, soy de otro pueblo.",Español
"No, vengo del campo.",Español
No puedo salir de mi casa.,Español
¿Tiene vecinos que le puedan ayudar?,Español
¡Mi hija ha sido agredida por su esposo! (Habla una mujer).,Español
¡Mi hermana ha sido agredida por su esposo! (Habla una mujer).,Español
¡Mi vecina está siendo agredida por su esposo!,Español
Su pareja le ha pegado a ella,Español
Mi mamá le pegó a mi papá,Español
Mi mamá le pegó a mi hermano (habla una mujer).,Español
Mi mamá le pegó a mi hermana (habla un varón).,Español
¡Mi padrastro le pegó a mi mamá!,Español
¿Ha ido ella al médico legista?,Español
Iremos a verla. ¿Nos puede acompañar?,Español
Mis agradecimientos a la comunidad,Español
Este trabajo de investigación pretende encontrar algunas respuestas a la pregunta de cómo se está enseñando la lectura y la escritura en lengua materna quechua,Español
Se trata de una investigación descriptiva a partir de un enfoque etnográfico,Español
La investigación fue desarrollada en el primer ciclo de la unidad central del núcleo de Rodeo,Español
"En este marco, la organización de los alumnos no promueve un trabajo participativo ni constructivo",Español
"El aula muestra la presencia de carteles con silabarios, por tanto la enseñanza del área de Lenguaje y Comunicación prioriza las letras, sílabas y palabras",Español
"Existe la voluntad de parte de los docentes para acercarse a la propuesta de la Reforma Educativa, aunque institucionalmente son dirigidos al tipo de enseñanza descrito.",Español
el trabajo de nuestra familia,Español
dibujemos animales,Español
dibujemos nuestra comunidad,Español
los productos de nuestra provincia,Español
"animales con pluma, pelo o lana",Español
animales de nuestra provincia,Español
Las actividades tradicionales de mi familia,Español
La creación de nuestra provincia,Español
Los medios de comunicación de nuestra comunidad,Español
aprenderemos un cuento,Español
La organización en nuestra aula,Español
oraciones afirmativas,Español
Nuestra comunidad y su entorno,Español
Partes de la oración,Español
Los miembros de la provincia trabajan,Español
Los derechos de niños y niñas,Español
La fauna de la provincia,Español
La creación de la provincia,Español
La actualidad de nuestra provincia,Español
"en el nombre del padre, del hijo, espíritu santo, amén",Español
Ahora tomen asiento,Español
"te pedimos para que aprendamos bien, te damos gracias",Español
dicen que va hacer ranitas,Español
¿Cómo se llama esto?,Español
la profesora pide que si encuentran esas sílabas en los módulos las escriban,Español
algunos alumnos copian los dibujos de los módulos,Español
algunos encuentran las sílabas y las encierran en un círculo,Español
otros copian el título de la página,Español
Yo les ayudaré ¿qué dice?,Español
Conversemos sobre el pastoreo,Español
saquen sus lápices,Español
"ahora van a copiar bonito lo que hemos hecho, el círculo con lápiz",Español
"también deben pintar, al que termine le daré lápices de color",Español
"mañana nomás pintaremos, mañana terminaremos",Español
"luego de mostrar van a salir, de lo contrario nos quedaremos, cada uno también debe escribir su nombre",Español
hoy concluiremos el trabajo de ayer,Español
les daré lápices de color para que pinten,Español
"¿quién escribió así, quién habrá escrito así?",Español
con letras grandes se verá mejor ¿bueno?,Español
¿qué le falta aquí?,Español
vean aquí los que no pueden escribir,Español
¿qué más falta?,Español
el pato camina,Español
el ojo es negro,Español
el ají es picante,Español
En nuestra comunidad tenemos autos y vacas y plantas y tiendas y casas,Español
¿cuántos hay?,Español
¿qué debe haber?,Español
quién puede venir y sustituir,Español
descansaremos un momentito,Español
"sólo un momento, no mucho tiempo",Español
ahora sigamos leyendo,Español
¿y qué es esto que puse aquí?,Español
¿qué quiere decir el punto aparte?,Español
"Saltamos, dejamos aquí, luego saltamos aquí. Cuando aparece esto debemos iniciar con mayúscula.",Español
leeré y reiteraré una vez,Español
¿eso más voy a hacer?,Español
¿qué buscarán?,Español
"coma, luego encierran en un círculo, no apretarán el lápiz muy fuerte",Español
"Luego, buscarán letras mayúsculas, dónde están escritas las letras mayúsculas, también encierran con un círculo",Español
¿tú Lucila estás buscando letras mayúsculas?,Español
encontré otra,Español
"algunos se equivocaron, escribieron con minúscula",Español
"está bien escrito, sin embargo ¿en qué se equivocaron?",Español
"sí, al principio. ¿Qué tenía que ser?",Español
"porque es nombre propio, además está al principio de la oración, debe ser con mayúscula",Español
"bueno, corregiremos junto conmigo en el pizarrón",Español
este es un nombre de ciudad,Español
¿cómo debe empezar?,Español
El papá pega al hijo.,Español
"hoy conoceremos o aprenderemos a manejar el sufijo -man ‘a’, o sea las raíces nominales, las anteriores clases hicimos el tema de las raíces, no es cierto?",Español
"bueno, seguiremos conversando sobre nuestra provincia",Español
"como les decía, ¿cuándo se realiza la feria en el pueblo de Tiraque?",Español
¿a qué van nuestros padres?,Español
¿para qué van a comprar víveres?,Español
para comer,Español
esta es una raíz nominal,Español
también daremos tarea para la casa,Español
podríamos escribir en los cuadernos lo que está en el pizarrón,Español
ya pusieron esta fecha,Español
¿qué título podemos poner debajo?,Español
"ayer les di una oración para hacer en la casa, ¿no es cierto?",Español
hagamos algunas preguntas,Español
¿quién le dijo que le iba a matar?,Español
"debemos estar atentos, para las preguntas, sino, no podremos responder",Español
¿qué es lo que vieron en ese libro?,Español
¿qué están haciendo esos niños?,Español
en aquel grupo dicen que están leyendo,Español
¿son varones o mujeres?,Español
una niña y un niño,Español
¿podríamos nosotros escribir nuestro nombre en esos libros?,Español
salgan de quienes ya he revisado,Español
¿Qué dice en esta oración?,Español
"escucharemos a este grupo, los demás en silencio",Español
cargaba una plantita grande,Español
¿quién hará leer esto?,Español
"Hola amiguitos, mi nombre es Antonio Raimondi y el libro que ahora les presento cuenta mi historia dedicada al descubrimiento de las bellezas naturales del Perú.",Español
Los invitó a conocer la aventura que fue mi vida y las maravillas de nuestro país.,Español
Acompáñenme y disfruten de este viaje lleno de sorpresas.,Español
Mi familia en Italia,Español
"Nací en Milán, Italia, el 19 de setiembre de 1824. Mis papis se llamaban Enrique y Rebeca, y viví con ellos y mis cuatro hermanitos en una hermosa casa.español",Español
Siempre me gustó ir al parque a disfrutar del aleteo de las palomas que revoloteaban junto a nosotros.,Español
¡Gracias a ellas aprendí a amar a la naturaleza!,Español
Un mundo por descubrir,Español
"Recuerdo que en el campo observaba el movimiento travieso de los insectos, los bellos colores de las flores o el brillo intenso de algún mineral.",Español
En la escuela me emocionaba la lectura de los libros de los grandes viajeros. ¡Yo también quería ser un gran explorador!,Español
En el Jardín Botánico de Milán aprendí los secretos de la naturaleza.,Español
Allí presencié con tristeza el corte de un cactus peruano.,Español
"Así nació mi interés por el Perú, que se hizo incontenible hasta el día que partí en barco desde Génova rumbo al Callao, puerto al que llegué el 28 de julio de 1850.",Español
Mi sueño cumplido: los viajes por el Perú,Español
¡Desde mi llegada sentí un gran deseo de viajar y conocer todo el Perú!,Español
"A caballo, en barco o a pie, recorrí nuestro maravilloso país durante diecinueve años, acompañado por mi asistente y amigo Cristóbal.",Español
Durante mis exploraciones y descubrimientos científicos viví los días más felices de mi vida.,Español
La infinita diversidad de plantas peruanas,Español
El reino vegetal fue uno de mis preferidos.,Español
"Cada vez que encontraba una flor, la dibujaba, cortaba y guardaba como una planta seca.",Español
¡Así llegué a tener más de veinte mil plantas!,Español
En 1867 descubrí en Ancash la especie más hermosa del Perú: la impresionante puya.,Español
Las regiones naturales y los animales del Perú,Español
La diversidad de animales que viven en las distintas regiones naturales del Perú es impresionante.,Español
"El mar, la costa, sierra y selva son el hogar de lobos marinos, ballenas, aves, osos, pumas, vicuñas, alpacas, boas, monos, entre muchísimas y hermosas especies.",Español
"Rocas, minerales y fósiles de los Andes",Español
"En mis viajes recogí gran cantidad de rocas y minerales. Me fascinaron su llamativo brillo, formas caprichosas, variados colores y las especies animales atrapadas como fósiles en ellas.",Español
La cordillera de los Andes era la fuente inagotable de mis colecciones.,Español
"Las ruinas prehispánicas abundan en todo el país, como el misterioso templo de Chavín, en Ancash, y sus oscuras galerías donde encontré el lanzón monolítico.",Español
¡Pero eso no fue todo!,Español
También descubrí una estela con la imagen de una divinidad sobrenatural que sostiene dos bastones y que es ahora símbolo nacional del Perú.,Español
El puente colgante,Español
Durante mis viajes siempre tuve dificultades al cruzar los caudalosos ríos. ,Español
"Por ello, los incas construyeron puentes colgantes tejidos a mano con fibras vegetales.",Español
¡Recuerdo balanceándome mientras el agua del río Apurímac pasaba debajo de mis pies!,Español
Después de tantos esfuerzos descansé a la sombra de un bello Pisonay.,Español
Cuando llegué a Cusco me pareció estar en Roma.,Español
"A cada paso, en cada esquina, podía reconocer las construcciones de los incas que, como las romanas, nos recuerdan la grandeza del pasado.",Español
Visité las impresionantes ruinas de Sacsayhuaman y dibujé la famosa piedra de los doce ángulos de la calle Hatun Rumiyoc.,Español
El Perú y el mapa del tesoro,Español
"Durante mis recorridos, realicé maravillosos descubrimientos de nuestra historia natural. ",Español
"Cursos de ríos remotos, minas de oro, plata y cobre, misteriosas ruinas arqueológicas, entre otros, aparecen representados en su ubicación exacta en mi mapa de los tesoros del Perú.",Español
Mis viajes y descubrimientos,Español
Las rutas de mis viajes y todos mis descubrimientos están descritos en la más importante de mis obras llamada El Perú,Español
"Este libro lo dediqué a los niños peruanos, para que asuman con amor y pasión el reto del estudio de la naturaleza de nuestro hermoso país",Español
La diversidad cultural del Perú,Español
"La mayor riqueza del Perú es nuestra gente, esa mezcla de personas naturales del país y de otras partes del mundo. ",Español
"Todos ellos, con sus costumbres, creencias y tradiciones enriquecen nuestra cultura e historia, haciendo de este país una hermosa nación mestiza.",Español
La herencia para el futuro,Español
Así dediqué mi vida al estudio de la naturaleza del Perú. ,Español
El camino para amar y respetar nuestro país es conocerlo. Su naturaleza guarda los secretos de nuestro progreso como nación.,Español
Mi mensaje para las futuras generaciones es continuar mi modesto esfuerzo para así alcanzar un país próspero y digno,Español
El texto presentado aquí es parte de un largo cuento yuracaré,Español
"los yuracarés habitaban, y aún habitan, la provincia tropical Chaparé del Departamento de Cochabamba",Español
"Creación, destrucción y re-creación del mundo-selva",Español
"Esta primera parte comienza con la creación del mundo, suceso que tuvo su centro en la selva yuracaré.",Español
"Un tiempo después, un genio maléfico prendió fuego a todas las selvas.",Español
Sólo un hombre se salvó de este desastre.,Español
". Cuando el hombre sembró estas semillas, brotó toda una nueva selva.",Español
"El hombre encontró a una mujer, y de ella tuvo varios hijos, entre los cuales hubo una chica",Español
"Un día, cuando estaba caminando en el monte, a esta chica le llamó la atención un hermosísimo árbol.",Español
Su deseo de que se torne en hombre se hace realidad y aquella noche duerme con él,Español
Pero al día siguiente él no regresa.,Español
"Cuando la mujer llega a la escena de la muerte de su marido, cuidadosamente levanta los pedazos de su cuerpo",Español
En el camino a su casa,Español
. Esto le motiva a declarar que ya no quiere vivir con ella,Español
con la prevención de no mirar atrás en el camino si oye caer alguna gran hoja de árbol,Español
"Cuando está caminando sola, efectivamente oye caer una hoja",Español
acto que le produce un vértigo delirioso y le hace extraviar del camino,Español
Sólo se sale de su delirio cuando ve delante de ella una choza en un claro de monte,Español
La casa de los jaguares,Español
La mujer se encuentra con la madre de una familia de jaguares,Español
y ella la esconde de sus hijos que en el momento no están en la casa,Español
"Pero cuando regresan olfatean su presencia, y le mandan sacarles unas hormigas venenosas de sus cabezas",Español
Para protegerle la madre le da unas semillas de zapallo indicándole que eche las hormigas ai suelo y coma las semillas,Español
Mientras que tres de los cuatro jaguares no notan su truco,Español
el cuarto tiene dos ojos adicionales en la parte posterior de su cabeza ,Español
la madre cría al bebé de la humana,Español
"Un día, le manda expulsar un pájaro que está comiendo los zapallos",Español
"En agradecimiento por no haberle matado, el pájaro le avisa a Tiri que los jaguares mataron a su madre",Español
sube a un árbol para emboscar los jaguares asesinos,Español
"Mata los tres primeros, pero al cuarto que tiene cuatro ojos no logra más que herir",Español
"Ruega protección de ellos, y de la luna, que, al escucharle, le invita a esconderse en su cara",Español
Este es un cuento acerca de un oso,Español
"Es un cuento muy difundido en distintas versiones en Bolivia, Perú y tal vez también el Ecuador",Español
"Una vez hubo un oso. Este oso se enamoró de una joven pastorcita, hasta que un día la llevó a su cueva.",Español
"Pero, cuando ve a unos transeúntes, la pastorcita empieza a sentir pena y a añorar a su gente",Español
"Volviéndose celoso, el oso tapa la entrada de la cueva con una roca",Español
Su hijo le promete a la madre mover esta roca cuando crezca más,Español
"Y así, un día, su hijo aparta la roca y los dos salen de la cueva",Español
"En el mundo afuera, el joven hijo del oso y de la pastorcita tiene muchas aventuras en las que demuestra un inmenso coraje y unas fuerzas sobrehumanas",Español
". Luego un día su madre está por morirse y le insta a que vaya a traerle a su padre, pero muere antes de que parta su hijo",Español
Luego el hijo va a reunirse con su padre y los dos viven felices hasta que el padre también muere,Español
"Entonces el hijo entierra el cuerpo de su padre en la misma sepultura en la que estaba enterrada su madre, y allí los dos cuerpos se entrelazaron e hicieron brotar un hermoso árbol",Español
A la sombre de este árbol encuentran consuelo los amantes que han perdido a su enamorado y sus corazones vuelven a reverdecer,Español
una tribu que habita la selva al noroeste del Chaparé,Español
Los protagonistas principales en este cuento son dos dioses hermanos,Español
"Cuando Duik le roba su mujer a Mitscha, Mitscha se escapa de su hermano, perforando un túnel a través de un cerro",Español
"Duik le persigue, y en el transcurso de perseguirle, tiene varias aventuras con otros habitantes de la selva tanto animales como seres humanos",Español
donde el cielo se encuentra con la tierra e introduce un palo entre los dos para darse paso. ,Español
"Después de tales aventuras imaginativas y sobrehumanas, da alcance a su hermano, quien le regala una de sus dos mujeres, luego Duik esta vez abandona a Mitscha.",Español
"Según las creencias callawayas, el Lari-Lari es un pájaro que mata a sus víctimas robándoles su ánimo.",Español
"Una vez, en la provincia Bautista Saavedra, un cailawaya estaba viajando al lugar selvático de Apolo para traer incienso",Español
En un lugar donde se paró para pasar la noche se acercó un Lari-Lari y trató de robarle el ánimo imitando la voz de su enamorada,Español
"Acordándose del peligro que representa este pájaro, el cailawaya hizo finto de estar dormido",Español
"cuando el Lari-Lari vino a posarse sobre su corazón, lo agarró",Español
"Luego lo peló, lo cocinó y lo comió",Español
"le amenazó que dentro de tres días estaría muerto por haber matado a una de las criaturas del ""Achachila""",Español
el cailawaya amaneció muerto después de tres días,Español
