"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"MIGUEL GALINDO,LUIS PADILLA","","","","",1.0,993,"POR EL AMOR DE UNA MUJER"
"OSCAR BAKANO Y SU GRUPO JALADO","","","","","",994,"SI YO FUERA EL"
"VALENTIN ELIZALDE",0.0,"Latin / Regional Mexicano","Nunca estas contenta contigo misma sindo tan linda
Te exiges tanto que hasta el llanto dejas caer
Ya no andes diciendo Que tienes miedo que yo deje
Que en mi camino yo me enamore de otra mujer
Que no sabes que yo me estoy muriendo por tu querer
No hay nadie en la tierra que tenga esas piernas why esa piel

Te quiero así, te amo así, así como tú eres
Yo te escogí por ser así de entre tantas mujeres
Me gustas tú tan solo tú lucero de mis noches
Yo te daré todo mi ser jamás te haré un reproche
Por que te quiero así

Nunca estas contenta contigo misma sindo tan linda
Te exiges tanto que hasta el llanto dejas caer
Ya no andes diciendo que tienes miedo que yo te deje
Que en mi camino yo me enamore de otra mujer

Que no sabes que yo me estoy muriendo por tu querer
No hay nadie en la tierra que tengas esas piernas why esa piel

Te quiero así, te amo así, así como tú eres
Yo te escogí por ser así de entre tantas mujeres
Me gustas tú tan solo tú lucero de mis noches
Yo te daré todo mi ser jamás te haré un reproche
Por que te quiero así

","MusicMatch",19.0,995,"TE QUIERO ASI"
"GRUPO PRIVADO","","","","",1.0,996,"TE JURO QUE TE AMO"
"LA SONORA 100% PURO DINAMITA DE ANAIDITA","","","","","",997,"YO SOY LA AMANTE"
"MARCO ANTONIO SOLIS",0.0,"Latin / Regional Mexicano","Y ahí se va
Ey, ey, ey

Quiero decirte
Esta noche sin vacilación
Que ya no aguanto
Lo que traigo aquí en mi corazón

Me gustas tanto me enloqueces
Y no lo puedo ya ocultar
En todos lados me apareces
Como ilusión en mi mirar

Es un secreto
Que tan sólo quiero compartir
Con esos ojos
Que le han dado luz a mi vivir

Que en esta noche no hay más luna
Que como tú me alumbre más
Que en mi alma crece una fortuna
Por tanta dicha que me das

Te quiero
Te quiero
Se oye en mi pecho
Es el grande amor que me has hecho

Latido a latido
Te siento conmigo
Yo quiero ser más que tu amigo

Ahí na' más
Ouh

Es un secreto
Que tan solo quiero compartir
Con esos ojos
Que le han dado luz a mi vivir

Que en esta noche no hay más luna
Que como tú me alumbre más
Que en mi alma crece una fortuna
Por tanta dicha que me das

Te quiero
Te quiero
Se oye en mi pecho
Es el grande amor que me has hecho

Latido a latido
Te siento conmigo
Yo quiero ser más que tu amigo

","MusicMatch",22.0,998,"MAS QUE TU AMIGO"
"CERTERO","","Latin / Regional Mexicano","","",1.0,999,"TU YA ERES COSA DEL PASADO"
"CALIBRE 50",0.0,"Latin / Regional Mexicano","Hace algunos meses la conocí por Face
Sus ojos, su sonrisa tiene un no sé qué
En unas horas ya éramos buenos amigos
Miro sus fotos y me encanta, ya estoy convencido

Es poco el tiempo pero todo sabe de mí
Jamás imaginé enamorarme así

A qué sabrán sus besos
Me lo pregunto y un suspiro
Aumenta mis latidos

Y aunque nunca te he tocado
Y aunque nunca te he besado
Te amo tanto que parece
Que te hice mía tantas veces

Y aunque no nos conocemos
Y aunque esto parezca cuento
Solo quiero estar contigo
Y algún día estar sintiendo tus latidos

y es Calibre 50, mi reina

A qué sabrán sus besos
Me lo pregunto y un suspiro
Aumenta mis latidos

Y aunque nunca te he tocado
Y aunque nunca te he besado
Te amo tanto que parece
Que te hice mía tantas veces

Y aunque no nos conocemos
Y aunque esto parezca cuento
Solo quiero estar contigo
Y algún día estar sintiendo tus latidos

","MusicMatch",23.0,1000,"TUS LATIDOS"
"LOS TUCANES DE TIJUANA",0.0,"Latin","Pues que creías que tú esperabas que iba a llorar
Y a suplicar que regresaras
Que tontería, que tarugada
Yo estoy para que me rueguen
No para rogarle a quien mal me paga

Adiós mi vida, adios ingrata
No vuelvas más, ya te olvidé
No me haces falta 
Por mi descuida de mi descansa
Yo estoy hoy mejor que nunca

Puedo asegurarte prueba superada
Ya no me busques ni en internet
No tengo Facebook ya lo cerré
Ya no me sigas en Instagram

Lo di de baja también Whatsapp
Cambié mi Twitter hasta mi Skype
Para encontrarme la sufriras
Adonde vallas me extrañaras

Se terminaron los Snapchats
Y si me encuentras te bloquearé
Mis seguidores son gente fiel

Adiós mi vida, adios ingrata
No vuelvas mas ya te olvidé 
No me haces falta
Por mi descuida de mi descansa
Yo estoy hoy mejor que nunca
Puedo asegurarte prueba superada

Ya no me busques ni en internet
No tengo Facebook ya lo cerré
Ya no me sigas en Instagram

Lo di de baja también Whatsapp
Cambié mi Twitter y hasta mi Skype
Para encontrarme la sufriras
Adonde vallas me extrañaras

Se terminaron los Snapchats
Y si me encuentras te bloquearé
Mis seguidores son gente fiel

","MusicMatch",25.0,1001,"PRUEBA SUPERADA"
"LOS ZEMVERS","","","","",6.0,1002,"SIN TESTIGOS"
"DADDY YANKEE",0.0,"","Si por ahí nos vemos, ni nos saludemos
Olvídate que existo (¡Sech!)
Si me escribes, queda en visto (DY)
No pasas ni caminando por mi mente
Yeah eh eh
Tú lo sientes y los dos estamos conscientes

Definitivamente no te quiero ni ver
Definitivamente ya esto murió, bebé (yeah yeah yeah), ah
De casualidad si nos encontramos, ni nos conocemos, yeah
Solo una vez más esto se va a dar, pa que lo olvidemos (oh oh, oh yeah)
Definitivamente no te quiero ni ver
Definitivamente esto murió, bebé, eh (yeah yeah)
De casualidad si nos encontramos, no nos conocemos (yeah eh)
Solo una vez más esto se va a dar, pa que lo olvidemos (oh oh, oh yeah)

Me lo dijo un amigo
Uno duerme con el enemigo, yeah, yeah
Quédate con lo debido
Y devuélveme el tiempo perdido
Oye, baby, tu actitud promete
Pero soy la fuerza de choque que tumba todos los piquetea, ja
Tú no me dejaste, no te des los méritos
Dale pal banco (prr), si estás buscando crédito (ja)

No quiero saber de ti, tú tampoco de mí (de mí)
Leamos el último capítulo y lleguemos al fin
No quiero saber de ti, tú tampoco de mí
Ahora todo es distinto (-to)
Me lo dice mi instinto (-to)

Definitivamente no te quiero ni ver
Definitivamente ya esto murió, bebé (yeah yeah yeah), ah
De casualidad si nos encontramos, ni nos conocemos, yeah
Solo una vez más esto se va a dar, pa que lo olvidemo' (oh oh, este es Sech, oh oh, yeah)

Si te escribo, de verdad es que estoy jodío
Si me quiere' ver, dame el último motivo
Después que se acabé, ya lo he decidido
Agarra todo y también agarra tu camino
Y si te molesta, okay, sigue por tu way
La relación está rota y no se pega ni con tape
Lo que pasó, pasó (oh)
Me pediste tres minutos y estás hablando seis

No quiero saber de ti, tú tampoco de mí
Leamos el último capítulo y lleguemos al fin
No quiero saber de ti, tú tampoco de mí
Ahora todo es distinto (-to)
Me lo dice mi instinto (-to)

Definitivamente no te quiero ni ver
Definitivamente ya esto murió, bebé (yeah yeah yeah), ah
De casualidad si nos encontramos, ni nos conocemos, yeah
Solo una vez más esto se va a dar, pa que lo olvidemos
Definitivamente no te quiero ni ver
Definitivamente esto murió, bebé, eh (yeah yeah)
De casualidad si nos encontramos, no nos conocemos (yeah eh)
Solo una vez más esto se va a dar, pa que lo olvidemos

","MusicMatch",26.0,1003,"DEFINITIVAMENTE"
"JUAN GABRIEL,JULION ALVAREZ,J BALVIN",0.0,"Latin / Regional Mexicano","Vengan todos

A mí me gusta mucho estar en la frontera
Porque la gente es más sencilla y más sincera
Me gusta cómo se divierten, cómo llevan
La vida alegre, positiva y sin problemas

Aquí es todo diferente
Todo, todo es diferente
En la frontera, en la frontera, en la frontera

A mí me gusta mucho, mucho estar aquí
Porque la gente cada vez es más feliz
Vive mejor, hay mucho amor y se supera
Porque aquí la gente es buena, is like

Aquí es todo diferente
Todo, todo es diferente
En la frontera, en la frontera, en la frontera

Que cómo me la maravillaría yo
Que cómo te la maravillarías tú
Si vinieras, si vivieras, si estuvieras
Si cantaras, si tocaras y bailaras aquí
A plena luz, a plein soleil, Simón, a plena luz

Arriba Chiapas
Y Veracruz
Arriba Juárez
Arriba tú

La gente no se mete en lo que no le importa
Todos respetan y cada quien vive su vida
Lo más hermoso, lo más divino
Es que es muy franca y cada vez es más unida

Aquí es todo diferente
Todo, todo es diferente
En la frontera, en la frontera, en la frontera

Cuál es la frontera señor
La frontera es muy padre Julión
Es como un sol, todo lo ve
La luna sale, sale guapa y sale llena de amor

Aquí todo es diferente
Y esto es gracias a la gente
En la frontera, en la frontera, en la frontera

Ay, qué fiestón con mi compa Julión
Y Juan Gabriel, así que estamos muy bien
El pasado nos dejó cicatrices
Gracias a Dios ahora todos somos felices

En la frontera todo fue diferente
Son bienvenidos todo tipo de gentes
Canta, baila y sé feliz
Finalmente yo nunca me iré de aquí

Y no me iré de aquí, hasta que muera
Porque aquí se bebe, se baila y la gente es buena
Y no me iré de aquí, hasta que muera
Porque aquí se bebe, se baila y la gente es buena

La frontera, la frontera
La frontera, la frontera
Porque la gente cada vez es más feliz
Porque aquí la gente es buena
A mí me gusta mucho estar en la frontera

","MusicMatch",24.0,1004,"LA FRONTERA"
"LOS TIRANOS DEL NORTE",0.0,"","Que seria de mi vida si tú me dejaras
Que seria de mi vida si tú te marcharas
Que seria de mi vida, amorcito de mi alma
Yo te juro que todo para mí terminaba

Se me enchina hasta el cuerpo
Nada más de pensarlo
Sin tus besos, mi cielo
No podría soportarlo

Si naciste, mi vida
Para que yo te amara
Te amaré hasta la muerte
Aunque me condenara

Hasta la miel amarga
Cuando el amor se acaba
Cuando se apaga el fuego
Se nos congela el alma
Por eso tengo miedo
Que tú de mí te vayas
El día que tú me olvides
Vas a partirme el alma

Se me enchina hasta el cuerpo
Nada más de pensarlo
Sin tus besos, mi cielo
No podría soportarlo

Hasta la miel amarga
Cuando el amor se acaba
Cuando se apaga el fuego
Se nos congela el alma
Por eso tengo miedo
Que tú de mí te vayas
El día que tú me olvides
Vas a partirme el alma

Se me enchina hasta el cuerpo
Nada más de pensarlo
Sin tus besos, mi cielo
No podría soportarlo

","MusicMatch",15.0,1005,"HASTA LA MIEL AMARGA"
"JENNI RIVERA",0.0,"Latin / Latin Urban","Desde hoy
He prohibido a mis ojos
El mirarte de nuevo a la cara

Tienes algo que acaba conmigo
Que a mi mente
De mi alma separa

Tengo que renunciar a quererte
Antes que ya no tenga remedio
Si mi vida dejara a tu suerte
Mi camino será un cementerio

Y basta ya de tu inconsciencia
De esta forma tan absurda
De ver a diario como hechas a la basura 
Mi corazón, lo que te doy
Con tanta fe de ver en ti felicidad

Me llevaré la dignidad de no caer más en tu juego
Haré de todo mi interior nuevos senderos
Y lloraré hasta lograr que algún día ya no te pueda recordar

Y basta ya de tu inconsciencia
De esta forma tan absurda
de ver a diario como hechas a la basura 
mi corazón, lo que te doy
con tanta fe de ver en ti felicidad

Me llevaré la dignidad de no caer más en tu juego
Haré de todo mi interior nuevos senderos
Y lloraré hasta lograr que algún día ya no te pueda recordar
Y lloraré hasta lograr que algún día ya no te pueda recordar

","MusicMatch",24.0,1006,"BASTA YA"
"SERGIO VEGA",0.0,"Latin / Regional Mexicano","No alcanza para la renta
Mucho menos pa' viajar
La comida en nuestra mesa es poquita
Pero es esquisita y real

No hay en la casa cortinas
Ni joyas en el cajon
Pero tengo una fortuna
Porque como tu no hay ninguna
Me llenas los bolsillos del corazon

No hacen falta monedas,
Brillantes, carros de lujo ni chamarras de piel
Elegantes, perfumes importados ni un buen reloj
Tus besos pagan mejor

No hacen falta billetes, diamantes
Ni cenas en el mas moderno y fino restaurante
Me basta con mi vida de so??ador
Yo soy bien trabajador
Soy millonario de amor..

No hay en la casa cortinas
Ni joyas en el cajon
Pero tengo una fortuna
Porque como tu no hay ninguna
Me llenas los bolsillos del corazon

No hacen falta monedas,
Brillantes, carros de lujo ni chamarras de piel
Elegantes, perfumes importados ni un buen reloj
Tus besos pagan mejor

No hacen falta billetes, diamantes
Ni cenas en el mas moderno y fino restaurante
Me basta con mi vida de so??ador
Yo soy bien trabajador

No hacen falta monedas,
Brillantes, carros de lujo ni chamarras de piel
Elegantes, perfumes importados ni un buen reloj
Tus besos pagan mejor

No hacen falta billetes, diamantes
Ni cenas en el mas moderno y fino restaurante
Me basta con mi vida de so??ador
Yo soy bien trabajador
Soy millonario de amooor!!

","MusicMatch",13.0,1007,"MILLONARIO DE AMOR"
"VICENTE FERNANDEZ",0.0,"Latin / Regional Mexicano","Te mire estabas tan bonita tan sensual
Te imagine ajena y me hizo mal
Ayyy aay amor
Ayyy ay que dolor
Que tarde comprendí
Contigo tenia todo y lo perdí

Te miré 
Con tu melena al viento y tu mirar
Al ras de tu escote, tu lunar
Ayyy hay amor
Ayyy hay que dolor
Hoy muero de pensar
Que no voy a ser yo al que vas amar

Estos celos me hacen daño me enloquecen
Jamás aprenderé a vivir sin ti
Lo peor es que muy tarde comprendí sí sí
Contigo tenia todo y lo perdí
Contigo tenia todo y lo perdí

Te miré 
Me confundió el llanto que rodó
Surgió una esperanza pero no
No ya no hay amor 
No y fue mi error
Y hoy muero de pensar
Que no voy a hacer yo al que vas a amar

Estos celos me hacen daño me enloquecen
Jamás aprenderé a vivir sin ti
Lo peor es que muy tarde comprendí sí sí
Contigo tenia todo y lo perdí
Contigo tenia todo y lo perdí

","MusicMatch",65.0,1008,"ESTOS CELOS"
"LA ARROLLADORA BANDA EL LIMÓN",0.0,"Latin / Regional Mexicano","No hay nada que no puedas oír
Esta hablando mi Ex permiteme
Deja ponerla en su lugar
Voy a ponerla en su lugar

Que diablos quieres?
Que parte del no, no entiendes
Vete con quien te de la gana
Y no vuelvas hablar

Te está escuchando
Quien te ha suplido
Y la verdad es que lo hace
Mucho mejor que tu

Si quieres oir los besos
No cuelgues, quedate ahí
No puedo perder el tiempo
Ella me hace feliz

Te dejo a que te decidas
Si vas a colgar o no
Si quieres atormentarte
Pon el alta voz

Y muere de celos de rabia
Que al cabo que
No sabes donde estoy

Que diablos quieres?
Que parte del no, no entiendes
Vete con quien te de la gana
Y no vuelvas hablar

Te está escuchando
Quien te ha suplido
Y la verdad es que lo hace
Mucho mejor que tu

Si quieres oír los besos
No cuelgues, quédate ahí
No puedo perder el tiempo
Ella me hace feliz

Te dejo a que te decidas
Si vas a colgar o no
Si quieres atormentarte
Pon el alta voz

Y muere de celos de rabia
Que al cabo que
No sabes donde estoy

","MusicMatch",23.0,1009,"LLAMADA DE MI EX"
"ULICES CHAIDEZ Y SUS PLEBES","","","Que si me encantas
No sé por qué
Tú tienes duda

Por qué demuestro
Lo que yo siento
Mis sentimientos
Mis sentimientos

Bella princesa
De ojitos negros
De pelo largo

Eres perfecta
Y tu sonrisa
Que me fascina
Que me fascina

Y no es por hablar de más
Pero yo sin ella no podría estar

Por qué me enamore
Y por qué fue de ti
Por qué tuve que ser yo el que no pueda estar sin ti
Respuesta no encontraré
No me voy a arrepentir
Pues tú eres lo mejor que ha llegado para mí

¿Por qué?
¿Por qué fue así?

Y no es por hablar de más
Pero yo sin ella no podría estar

Por qué me enamore
Y por qué fue de ti
Por qué tuve que ser yo el que no pueda estar sin ti
Respuesta no encontrare
No me voy a arrepentir
Pues tú eres lo mejor que ha llegado para mí

¿Por qué?
¿Por qué fue así?

","Google","",1010,"PORQUE ME ENAMORE"
"LOS RELAMPAGUITOS","","","","","",1011,"QUE TE VAYA BONITO"
"BANDA MS",0.0,"","Los besos de mi boca 
No fueron suficientes 
Para que te quedaras 
Conmigo para siempre
No me alcanzó el cariño
Para verte contenta
Te amaba como un loco
Y no te diste cuenta

Me resultaron falsas
Toditas tus palabras
Tus manos me mentían
Cuando me acariciaban
De que sirvió rogarte
Para qué te quedaras
Mi error fue darte todo
Cuando no vales nada

Me vas a extrañar
Te apuesto lo que quieras
Que vas a buscarme
Y vas a llorar
Porque tú a mí
Jamás supiste valorarme
Te vas a acordar
De todas nuestras travesuras
Pero será muy tarde

Me vas a extrañar
Porque un amor como este
No fácil se olvida
Y nadie sabrá
Hacerte todas las cosas
Que yo a ti te hacía
Pero fue un error
Entregar mi corazón
A quien no lo merecía

Me vas a extrañar
Te apuesto lo que quieras
Que vas a buscarme
Y vas a llorar
Porque tú a mí
Jamás supiste valorarme
Te vas a acordar
De todas nuestras travesuras
Pero será muy tarde

Me vas a extrañar
Porque un amor como este
No fácil se olvida
Y nadie sabrá
Hacerte todas las cosas
Que yo a ti te hacía
Pero fue un error
Entregar mi corazón
A quien no lo merecía

","MusicMatch",17.0,1012,"ME VAS A EXTRAÑAR"
"JULION ALVAREZ",0.0,"Latin","Lo mejor que te pasó
Se supone que eso era
Allá tú, si no fue así
Yo te quería de a de veras

Es bien tonto el corazón
Pues se enamora
Siempre me pasa lo mismo
Lo doy todo y no valoran

Esta noche se me olvida
Que te di mi corazón
Tantos besos que me distes
Me los lavo con alcohol

Hoy me fumo tu recuerdo
Y todo lo que prometiste
Aunque estoy mal herido
Sé que no voy a morirme

Esta noche se me olvida
Cuando te dije te quiero
Lloraré lo necesario
Y me levantaré de nuevo

Una más, una menos
Y al final mira aquí sigo
Y como quiera te olvido
Como quiera, yo te olvido

Es bien tonto el corazón
Pues se enamora
Siempre me pasa lo mismo
Lo doy todo y no valoran

Esta noche se me olvida
Que te di mi corazón
Tantos besos que me distes
Me los lavo con alcohol

Hoy me fumo tu recuerdo
Y todo lo que prometiste
Aunque estoy mal herido
Sé que no voy a morirme

Esta noche se me olvida
Cuando te dije te quiero
Lloraré lo necesario
Y me levantaré de nuevo

Una más, una menos
Y al final mira aquí sigo
Y como quiera te olvido
Como quiera, yo te olvido

","MusicMatch",12.0,1013,"ESTA NOCHE SE ME OLVIDA"
"JOAN SEBASTIAN",0.0,"Latin / Regional Mexicano","Encima de todo esto
Aun tengo la desfecha de gritar que te amo
Encima de todo esto, porque te amo.

Encima de todo esto
Que te a partido el alma
Y me hace mal decirte
Hay algo que esta claro
Y quiero que el mundo confirme
Que yo te amo.

Más allá del sol y
Más allá de todos mis errores,
Que no les quede duda que tu eres,
El más grande de todos mis amores.

Encima de todo esto que a ti te
Siembra duda y a me causa pena
Me atrevo asegurar que el castillo no es de arena
Yo si te amo.

Encima de todo esto emerge una verdad
Que me libera y es la neta
Ya que estas empacando llevatela en la maleta
La verdad, es que te amo.

Más allá del sol y más allá de todos mis errores,
Que no te quede duda que tu eres
El más grande de todos mis amores.

Más allá del sol y más
Allá de todos mis errores
Que no te quede duda que tu eres,
El más grande de todos mis amores,
El más grande, el más grande de todos mis amores.

","MusicMatch",24.0,1014,"MAS ALLA DEL SOL"
"DUELO",1.0,"Latin / Regional Mexicano","Espero que estés, contenta feliz
Resulta que después de amarnos como locos
Simplemente dices que ha llegado el fin

Me duele tu adiós pero él te ofreció
Un castillo de oro, yo solo mis sueños
Y un pequeño apartamento para dos

Procura fingir que nadie a navegado por tu lindo cuerpo
Que nadie besó la cicatriz pequeña que adorna tu espalda
Y pídele a Dios que si él te lleva al punto de arañar el cielo
Que apague la voz para que no le grites mi maldito nombre

Y ojalá que el puño de diamantes que él te ha prometido
Sobornen tus ansias cuando sientas ganas de jugar conmigo
Y que sus detalles se vuelvan cadenas de tus emociones
Para que no sufras el dolor que causan las desilusiones

Te prometo que nuestro romance morirá en silencio
Yo a ver cómo le hago pa' sanar el vicio de sentir tus labios
Rodar por mi piel besando cada espacio de mi anatomía
Brindándome vida

Qué triste aceptarlo
Hoy pierdo a la reina de mis fantasías

Procura fingir que nadie a navegado por tu lindo cuerpo
Que nadie besó la cicatriz pequeña que adorna tu espalda
Y pídele a Dios que si él te lleva al punto de arañar el cielo
Que apague la voz para que no le grites mi maldito nombre

Y ojalá que el puño de diamantes que el te ha prometido
Sobornen tus ansias cuando sientas ganas de jugar conmigo
Y que sus detalles se vuelvan cadenas de tus emociones
Para que no sufras el dolor que causan las desilusiones

Te prometo que nuestro romance morirá en silencio
Yo a ver cómo le hago pa' sanar el vicio de sentir tus labios
Rodar por mi piel besando cada espacio de mi anatomía
Brindándome vida

Qué triste aceptarlo
Hoy pierdo a la reina de mis fantasías

","MusicMatch",20.0,1015,"PUÑO DE DIAMANTES"
"LA ADICTIVA BANDA SAN JOSE DE MESILLAS",0.0,"Latin / Regional Mexicano","","MusicMatch",21.0,1016,"EL VIEJON"
"INTOCABLE",0.0,"Latin","Me dices que te vas porque ya no soportas
Tu amarga soledad
Que ya no soy romántico
Como cuando te empecé a conquistar

Que me olvidé de los pequeños detalles
Que te hacían vibrar
Que me rodea una armadura de acero
Difícil de penetrar

Sé que en verdad todo lo que estás diciendo
No lo puedo negar
Y me lastima en lo profundo del alma
Que quieras terminar

Mi mente loca al sentirte segura
No supo valorar
Todo el amor que tú me dabas, me arrepiento
Creo que voy a llorar

Y la verdad es que no soy tan fuerte
Como lo pensaba
Mi voz se quiebra, estoy temblando de miedo
Pues sin ti no soy nada

Si tú te vas me quedaré muerto en vida
Mi mundo se acabará
Será imposible para mí, existir
Sin tu amor, sin tu cara

Y arrepentido de todos mi errores
Te suplico, por favor
Que no me odies y que no me abandones
Porque fuerte no soy

Y la verdad es que no soy tan fuerte
Como lo pensaba
Mi voz se quiebra, estoy temblando de miedo
Pues sin ti no soy nada

Si tú te vas me quedaré muerto en vida
Mi mundo se acabará
Será imposible para mí, existir
Sin tu amor, sin tu cara

Y arrepentido de todos mi errores
Te suplico, por favor
Que no me odies y que no me abandones
Porque fuerte no soy, oh oh
Que no me odies y que no me abandones
Porque fuerte no soy

","MusicMatch",22.0,1017,"FUERTE NO SOY"
"JULION ALVAREZ",0.0,"","Eres lo que más me gusta
Eres mi hermosa princesa
Nada le temo a la vida
Cuando yo te tengo cerca
Nada me pone a temblar
Excepto cuando me besas

Es que en serio me fascinas
Te presumo en cada esquina
Por supuesto hablo de ti
Cuando yo estoy con tus amigas
De lo mucho que te amo
De lo mucho que te extraño
Lucho para demostrarlo

En cuestión de sentimientos
Me traes bien atarantado
La verdad que soy tu tonto
Me traes bien ilusionado
Y no te lo estoy contando
Yo te lo estoy afirmando

Quita
Julion Alvarez
Y su norteño Vargas

Sentimientos encontrados
Tú en mi has provocado
Me fascina tu sonrisa
Me traes bien enamorado
Te lo vuelvo a repetir
Y te lo estoy confirmando

Es que en serio me fascinas
Te presumo en cada esquina
Por supuesto hablo de ti
Cuando yo estoy con tus amigas
De lo mucho que te amo
De lo mucho que te extraño
Lucho para demostrarlo

En cuestión de sentimientos
Me traes bien atarantado
La verdad que soy tu tonto
Me traes bien ilusionado
Y no te lo estoy contando
Yo te lo estoy afirmando

","MusicMatch",10.0,1018,"Y TU"
"CALIBRE 50",0.0,"Latin / Regional Mexicano","Unas ultras para la sed
Como la ve cuñado, si empezamos de una vez
Y nos vamos para el rancho para quitarnos el estrés
Y jalamos la bandona, con unas plebonas hasta amanecer

Unas ultras para la sed
Para matar el calor, pero en culiacan saben más bien
Para bailar el español, un corrido le sabe bien
Saca una fría de abajo, que para lo caliente no más el café

Que bonito oigo la banda
Son las cosas que me encantan
La vida es para disfrutarse
Que para eso uno trabaja
Y unas ultras para la sed

Unas ultras para la sed
Para matar el calor, pero en culiacan saben muy bien
Para bailar el español, un corrido le sale bien
Saca una fría de abajo, que para lo caliente no más el café

Unas ultras para la sed
Ya voy agarrando vía, le advertí que escale bien
Me gusta la desvelada, ya con esta llevo cien
Ando feliz en la vida, por que las cosas salen más que bien

Que bonito oigo la banda
Son las cosas que me encantan
La vida es para disfrutarse
Que para eso uno trabaja
Y unas ultras para la sed

","MusicMatch",29.0,1019,"LAS ULTRAS"
"CELSO PIÑA FT. CAFE TACUBA",0.0,"","","MusicMatch",8.0,1020,"AUNQUE NO SEA CONMIGO"
"LOS GILES","","","","","",1021,"NUNCA PENSE LLORAR"
"BANDA LOS RECODITOS",0.0,"Latin / Regional Mexicano","Debo decirte que no me da gusto verte 
Y no me salgas con que todavía me quieres 
Que no superas que te hago falta 
Y yo que no esperaba nunca mas jamas volver a ver tu cara 
Y me preguntas que porque deje de amarte 
Que ya mis ojos no te miran como antes 
No me interesa volver contigo 
Si ya olvidaste te recuerdo los motivos 

Según tu boca me faltaba más por darte 
Cuando lo único que hice fue entregarme 
Cualquier detalle nunca era suficiente 
Nunca pude complacerte 

Según tu boca nunca fui lo que esperabas 
Llegue a pensar que era yo quien se equivocaba 
Por darte gusto como un tonto me humillaba 
Y tú de terca con que algo me faltaba 
Más descubrí con tu actitud que al fin de cuentas 
A mi nada me faltaba 
Más bien me sobrabas tu

Y solamente me sobrabas tu chiquitita hermosa

Según tu boca me faltaba más por darte 
Cuando lo único que hice fue entregarme 
Cualquier detalle nunca era suficiente
Por más que quise nunca pude complacerte

Según tu boca nunca fui lo que esperabas 
Llegue a pensar que era yo quien se equivocaba 
Por darte gusto como un tonto me humillaba 
Y tú de terca con que algo me faltaba 
Más descubrí con tu actitud que al fin de cuentas 
A mi nada me faltaba
Más bien me sobrabas tu

","MusicMatch",21.0,1022,"ME SOBRABAS TU"
"BANDA PELILLOS",0.0,"Latin","Es cierto te solté, porque así tu lo quisiste.
Jamás te obligaría a quedarte.

Si esa fue tu decisión yo la respeto.
Pero a perdonarte no me comprometo
Y me darás la razón
Cuando alguien más a ti te parta el Corazón.

No sabes lo que se siente.
Perder a quien más tu amabas.

No somos dos adolescentes
Que no saben lo que quieren.
Te di mis mejores años
Pero no fue suficiente.

No se si fue tu arrogancia
O fue tu miedo al compromiso.
Aunque no quise que pasará
Este final ya estaba escrito.

No sabes lo que se siente.
Una vez más te lo repito.
Si quisiste lastimarme
Lo hiciste bien, te felicito...

No no sabes lo que se siente
Perder a quien tu más amabas.
No somos dos adolescentes
Que no saben lo que quieren.

Te di mis mejores años
Pero no fue suficiente.
No se si fue tu arrogancia
O fue tu miedo al compromiso.

Aunque no quise que pasará
Este final ya estaba escrito.

No sabes lo que se siente
Una vez más te lo repito
Si quisiste lastimarte
Lo hiciste bien te felicito.

","MusicMatch",16.0,1023,"NO SABES LO QUE SE SIENTE"
"LOS ANGELES AZULES,PABLO LESCANO",0.0,"","Bailemos la cumbia 
Con mucha ricura 
Bailemos la cumbia 
Prendiendo las velas 

Bailemos la cumbia 
Con mucha ricura 
Bailemos la cumbia 
Prendiendo las velas

Cumbia

La cumbia del infinito
Ya se escucha en todos lados
Ya la bailan en Tepito
Y los que andan de mojados

La cumbia del infinito
Ya se toca en todos lados
Si te quieres mover rico
Ven y baila a nuestro lado

Baila conmigo

La cumbia del infinito
No conoce las fronteras
Se mueve por el Perú
Y también por el gabacho

Con Los Ángeles Azules
Se acelera el corazón
Bailando hasta el infinito
Con mi negra con mi amor

Bailemos la cumbia
Con mucha ricura
Bailemos la cumbia
Prendiendo las velas 

Bailemos la cumbia
Con mucha ricura
Bailemos la cumbia
Prendiendo las velas

Cumbia

","MusicMatch",24.0,1024,"LA CUMBIA DEL INFINITO"
