N°,artists,explicit,genre,lyric,musixmatch_rating,rank,title,Violencia verbal,Violencia Física,Violencia Psicológica,Violencia Sexual,VIolencia Económica,Violencia Simbólica,Apto para niñxs,clase,Observacion
237,ERNESTO SOLANO,0.0,,"Eva María se fue buscando el sol en la playa
Con su maleta de piel y su bikini de rayas
Ella se marchó y solo me dejó recuerdos de su ausencia
Mientras yo sufro la pena de vivir sin su amor

¿Qué voy hacer?
¿Qué voy hacer?
¿Qué voy hacer si Eva María se fue?
¿Qué voy hacer?
¿Qué voy hacer?
¿Qué voy hacer si Eva Maria se fue?

Apenas puedo dormir pensando si ella me quiere
Si necesita de mí por el amor que me tiene
Que bonita esta bañándose en el mar bronceandose en la arena
...


 ",5.0,190,EVA MARÍA,0,0,0,0,0,0,0,0,
238,PABLO MONTERO,0.0,,"Hoy por la mañana
Me miré al espejo y vi que algunas canas ya cubren mi frente
Y con cierto asombro veo que mi mirada ahora es diferente
Me puse a pensar lo que últimamente murmura la gente

Dicen que estoy viejo
Tal vez, ya notaron que en las cosas vanas ya no me intereso
Y es que según ellos fueron mis canas y agarrar parejo
De esas madrugadas y de las parrandas, me mantengo lejos

¡Qué me digan viejo!
Pero yo no dejo de sentir bonito si me dan un beso
Sigo siendo el niño que sigue creyendo la luna es de queso
Ser hombre maduro no te hace más duro, te aseguro eso
...


 ",16.0,191,QUE ME DIGAN VIEJO,1,0,0,0,0,0,0,1,
239,LOS CARNALES DE NUEVO LEON,,Music,,11.0,192,NO SE QUE ME DISTE,0,0,0,0,0,0,0,0,
240,LOS INVASORES DE NUEVO LEON,0.0,,"No me arrepiento de nada
Aunque nada fue planeado
Tú estabas desesperada
Y yo estaba idiotizado

No esperaba tu llegada
Segura pero temblando
Tú lo estabas engañando
Y yo a alguien más lastimaba

No me arrepiento de nada
Mientras la cama veías
La ropa yo te quitaba
Tú me quitabas la mia

No me arrepiento de nada
...


 ",23.0,193,NO ME ARREPIENTO DE NADA,0,0,0,1,0,0,0,1,
241,BANDA LA UNICA DEL RANCHO,0.0,Latin / Regional Mexicano,"No me digas que me quieres
Y que tú sin mí te mueres, que tu vida me darás
No me digas que me amas, me dan asco tus palabras
No te creo ni una más

Yo te quise demasiado
Y tal vez fue mi pecado, darte tanta libertad
Me sentí como un payaso, al mirarte entre sus brazos
¿A quién quieres engañar?

Convénceme y dime qué
Que tú no eres la mujer que yo soñé
...


 ",9.0,194,CONVENCEME,0,0,0,0,0,1,0,1,
242,BANDA RENOVACION,0.0,Latin / Regional Mexicano,"Perdí mi tiempo en conquistarla
Perdí la cuenta de las llamadas
Que yo le hacía en las madrugadas
Las flores que le envíe, todo eso para que
Y yo de tonto con la esperanza
De enamorar con serenatas
Y con poesías que para nada
La iban hacer caer, es su forma de ser

Es totalmente diferente
A la persona que yo creía que era
Ella es de amigos con derechos
Nunca toma nada enserio
Y yo queriendo tratarla como princesa

No te imaginas que esos labios
...


 ",19.0,195,MUJER DE LA ESQUINA,0,0,1,0,0,1,0,1,
243,LENIN RAMIREZ,0.0,Latin / Regional Mexicano,"Me salió muy caro
El probar tus besos
Lo pagué con llanto
Porque aunque lo niego te sigo queriendo

Me quedo callado cuando oigo tu nombre
Porque aunque mereces que hablen mal de ti
Eso no es de hombres, eso no es de hombres

...


 ",22.0,196,ESTAS GANAS DE TOMAR,0,0,0,0,0,0,0,0,
244,LUPILLO RIVERA,,Latin / Regional Mexicano,,19.0,197,SALISTE LIVIANA,0,0,0,0,0,1,0,1,
245,DIEGO HERRERA,0.0,Latin / Regional Mexicano,"Pude enamorarme antes
Pero no te conocía
Tal vez no me daba tiempo porque yo sabía que aparecerías
Todo lo que yo buscaba
Ya lo tienes incluido
No te cambiaría nada tal y como eres me quedo contigo

Sabes que tú tienes todo lo que me enamora
Esa sonrisa que convence
Que no la tiene otra persona

...


 ",17.0,198,LO QUE ME ENAMORA,0,0,0,0,0,0,0,0,
246,"KIKIN Y LOS ASTROS, LEANDRO RIOS",,Latin,,17.0,199,ESPEJEANDO,0,0,0,0,0,0,1,1,
247,LOS INVASORES DE NUEVO LEON,0.0,,"Lo siento, hoy serás tú la que se va
¿Por qué debo ser yo quien siempre pierda?
Ahora me toco la de ganar
Y tú ya te estas yendo, ahí está la puerta

Lo siento, hoy te toco la de perder
Y nada de llorar, que no te creo
Y quiero que lo sepas de una vez
Tu amor lo sepulté en el cementerio

Desde hoy pienso poner un hasta aquí
...


 ",23.0,200,LA CASA EN VENTA,0,0,0,0,0,0,0,0,
248,LEANDRO RIOS,0.0,Latin,"¿A las cuántas horas de extrañar uno se muere?
Pa' saber cuánto me va a durar el sufrimiento
¿En qué tanto tiempo a uno se le olvida?
Los bellos momentos con el amor de su vida

¿A las cuántas horas de dolor se acaba el llanto?
Porque ya van muchas y no más no lo supero
¿A dónde me largo para no extrañarte?
Y no andar mirando tu carita en todas partes

¿A las cuántas horas de no darte un beso?
¿Se me va a quitar este deseo?
De ponerle mis caricias a tu cuerpo
...


 ",17.0,201,A LAS CUANTAS HORAS?,0,0,0,1,0,0,0,1,
249,KIKIN Y LOS ASTROS,,Music,,1.0,202,MALDITA TRAICION,0,0,0,0,0,0,0,0,aunque no contenga violencia habla de traicion
250,LOS CALIZ,0.0,,"Pude habérmela cobrado
Pero yo no soy así, igual que tú
Que te gusta lastimarme, sin pensar en el desmadre
Que dejaste en mi corazón

No te di el derecho de jugar con mi cariño
Siento como que algo nos falló desde el principio
Pero lo más sano es olvidarte, para ya cerrar el ciclo

Yo no soy como tú
Que en una semana puedes olvidarme, sin llorarme
Cómo duermes tan a gusto por las noches
Si te miro por la calle, tan campante

...


 ",21.0,203,NO SOY COMO TU,0,0,0,0,0,0,0,0,habla de desamor
251,CUARTO DE MILLA,,Latin / Regional Mexicano,,14.0,204,DOS BOTELLAS Y UN CIGARRO,0,0,0,0,0,0,0,0,
252,PANCHO URESTI,1.0,Latin / Regional Mexicano,"Para que me besabas
Si no ibas amarme
Porqué te fijaste en mi persona
Para saciar nada más tus instintos
Porque con tu boca me hablaste bonito

Dime porqué yo te guste para jugar
Si sólo era sexo porqué no pusiste a otro en mi lugar

Dime que número fui
En la lista de tus afectados
Cuántos antes de mi también creyeron en tus labios
...


 ",13.0,205,DIME QUE NUMERO FUI,0,0,0,0,0,0,0,0,
253,CRISTIAN JACOBO,0.0,Latin / Regional Mexicano,"Contigo hoy me sobran las razones
Ya lo platicamos yo y mi corazón
Le dije por favor no te equivoques
Y hoy se que fue una buena decisión

Lo supe en cuanto mire tus ojos
Que tu serias el amor de mi vida
Me gustas en tus alegrías y enojos
Y quiero hacerte muy feliz todos los días

...


 ",16.0,206,CUANDO MENOS LO ESPERABA,0,0,0,0,0,0,0,0,
254,LOS 2 DE LA S,0.0,Latin / Regional Mexicano,"Esta vida está bien hecha
Y no vengo a cambiar nada
Quiero gozar de cada día
Porque yo no sé mañana

Los amigos son pa' siempre
Traigo escuela de mi viejo
Si me respetan, respeto
Y al que no yo aquí lo atiendo

La mirada nunca miente
La palabra se sostiene
Mi mujer quien me hace fuerte
Y a mis padres se les quiere

La vida me ha dado cosas
...


 ",17.0,207,LA MIRADA NUNCA MIENTE,0,0,0,0,0,0,0,0,
255,LA GABBANA,0.0,Latin / Regional Mexicano,"Sabía que tenías que volver
Lo sabía que me ibas a buscar
No fue fácil olvidar lo puedes ver
En tu alma tus caricias llevarás

Cómo pudiste creer que en poco tiempo
Mi lugar alguien lo iba a reemplazar
Es más fácil que la luna sea de queso
A que un día tú me puedas olvidar

Es más fácil que el verano sea en enero
Y en las noches ahora nos alumbre el sol
Es más fácil que sea realidad todo eso
A que tu cuerpo vuelva a sentir mi calor

Es más fácil que suceda lo imposible
...


 ",5.0,208,ES MAS FACIL,0,0,0,0,0,0,0,0,
256,LA ARROLLADORA BANDA EL LIMÓN,0.0,,"Unos kilos de más no te hacen menos atractiva
Yo te amo, no te sientas insegura
La dulzura de tus besos es la que me vuelve loco

¿Fea? Por Dios, amor, ya no te estés diciendo eso
Eres linda, ¿acaso no tienes espejo?
Yo te veo y me derrito, soy tu fiel admirador

Eres una persona excepcional
Así me gustas natural y aunque tu físico me encanta
Me enamoré, perdidamente, de tu forma de pensar
...


 ",24.0,209,COMO SI YO FUERA PASTEL,0,0,0,0,0,0,0,0,
257,CHAYIN RUBIO,1.0,Latin / Regional Mexicano,"Ya me enteré
Que hay alguien nuevo acariciando tu piel
Algún idiota al que quieres convencer
Que tú y yo somos pasado

Ya me enteré
Que soy el malo y todo el mundo te cree
Que estás mejor desde que ya no me ves
Más feliz con otro al lado

¿A quién piensas que vas a engañar?
Sabes bien que soy tu otra mitad

Olvídate de ese perdedor
Y repítele que yo soy mejor
...


 ",18.0,210,YA ME ENTERE,0,0,0,0,0,0,0,0,
258,CODIGO FN,,,,,211,ME GUSTAN ASI COMO TU,0,0,0,0,0,0,0,0,
259,GABRIEL VIVAL,0.0,Latin / Regional Mexicano,"Aguántate, si sonriente me ves hoy por la calle
Si a mi lado va una mujer elegante
No te enceles, ahora ya estamos iguales
Aguántate, porque no tienes nada que reclamarme
Ya no le hagas que puedo entrar en detalles
Y ahi si, que podria perjudicarte
Aguántate, si un dia no me encuentras en la casa
Si tomado llegue la madrugada
...


 ",7.0,212,AGUANTATE,0,0,0,0,0,0,0,0,
260,SAUL EL JAGUAR,0.0,,"Por amor a ti
Me quedé como una pluma en el viento
Sin voluntad y sin fe
Donde me lleve el recuerdo

¿Cómo sacarme de ti?
Si te llevo dentro
No puedo arrancarte de mí

Voy a morir
Besando mi dolor por tu amor
Voy a volver
...


 ",16.0,213,POR AMOR A TI,0,0,0,0,0,0,0,0,
261,LUCERO,0.0,Latin / Pop in Spanish,"No sé cómo llamarle a esto
Pero me gusta lo que siento
Tan solo al escuchar tu voz
Me tiembla el pensamiento

Y no sé si parar o continuar con alegría
Que siento cada vez que estás conmigo, vida mía
Es tan bonito todo que parece una mentira
Por eso tengo miedo a recibir un golpe más

Pero a pesar de todo
Te quiero aquí conmigo
Sé que vale la pena arriesgar todo por ti
Porque con nadie antes me he sentido tan feliz

...


 ",18.0,214,A PESAR DE TODO,0,0,0,0,0,0,0,0,
262,GRUPO CODICIADO,0.0,,"Pensando en cosas hermosas que pasamos juntos
Cuando estabas tú conmigo y casada con él
Y te daba de mi abrigo cuando lo querías
Dime, ¿por qué fue que cambiaste ahora de parecer?

Un martirio cuando me negabas
Sueños rotos los que me dejabas
Ya sabía bien y no quise entender cuál era el motivo
Y yo tonto creía
Que amabas a este niño

Otro día te busque pa decirte: ""no puedo
...


 ",74.0,215,PARA QUE ME LAS DISTE,0,0,0,0,0,0,0,0,
263,PIPE BUENO,0.0,Latin,"¿Por qué tenías que fallar?
Cuando más necesitaba de tu amor
Cuando todo me salía mal
Llegas tú, con un disparo al corazón

Si eras mi apoyo
Mi paño de lágrimas
Y hoy prometo no volverme a enamorar

Renuncio a el amor
Cupido falló
Esa flecha en el camino se dañó

Renuncio a el amor
Cupido falló
...


 ",23.0,216,CUPIDO FALLO,0,0,0,0,0,0,0,0,
264,LOS INQUIETOS DEL NORTE,0.0,Latin,"No, no creo que estuviera escrito
Que me enamoraría
Intensamente de ti

Después de tanto tiempo
De andar buscando esto
Por fin brotó el amor en mí

Sí, me llenaste de besos
De tus besos traviesos
Que penetraron mi ser

...


 ",22.0,217,ENAMORADOS,0,0,0,0,0,0,0,0,
265,LOS HURACANES DEL NORTE,0.0,,"Ya dile la verdad, si no te sientes bien con el...
Dile que aquí ya somos 3, y que el solo esta de mas...

Ya dile la verdad, por que lo dejaste de amar,
Dile que por que no te dio, lo que yo te supe dar...

Para que se resigne de una vez,
Aver si no le da diabetes al saber...

...


 ",27.0,218,YA DILE LA VERDAD,0,0,0,0,0,0,0,0,
266,"ADRIEL FAVELA, JAVIER ROSAS",1.0,,"La escuela nunca me gustó
Aún recuerdo aquellos tiempos de la prepa', ya traía un billetón
Desmadroso desde morro, ya, ni modo, esta vida me tocó
Y aquí andamos al millón

Bien placoso y malandrón
Tengo rayas en el cuerpo que resaltan a dondequiera que voy
El Sur centro de Los Ángeles, mi casa, es de donde vengo yo
Un saludo a mis homeboys

...


 ",18.0,219,LA ESCUELA NO ME GUSTO,0,0,0,0,0,0,0,0,
267,LOS YAGUARU,,,,1.0,220,HABLARTE AL OIDO,0,0,0,0,0,0,0,0,
268,BRONCO FT RICKY MUÑOZ,0.0,,"Voy a tumbar la casita
Que piedra por piedra hice para ti
Y voy a tumbar la casita
Para que la quiero, si ya te perdí

Con cada piedra que tumbe
Con cada piedrita de cada pared
Quiera Dios que se derrumbe
Adentro de mi alma, tu imagen también
...


 ",26.0,221,VOY A TUMBAR LA CASITA,0,0,0,0,0,0,0,0,
269,BANDA MS,,,,,222,CERRANDO CICLOS,0,0,0,0,0,0,0,0,
270,JENNI RIVERA,0.0,Latin / Regional Mexicano,"Aquí estoy frente al espejo
Que conoce mi verdad
El que sabe que si miento
Sólo es por disimular
Que te extraño inmensamente
Aunque no lo diga frente a los demás

Pero, se hace inevitable
Volver a pensar en ti
Porque estás en todas partes
Aunque ya no estés aquí
A los ojos de la gente
Hasta puede parecer que soy feliz

Aparentemente bien
Que tu adiós me ha hecho más fuerte
Que ya no eres importante
Que camino hacia adelante

Aparentemente bien
...


 ",23.0,223,APARENTEMENTE BIEN,0,0,0,0,0,0,0,0,
271,IMPERIO CALAVERA,0.0,Latin,"Siempre escuchaba un te amo
Si te llegaba con regalos
De otra amanera no había ni una sonrisa
Pero jamás me rechazas el viaje de fin de semana
Muy cariñosa solo si te convenía
Tal vez pensaste que era tonto
Te equivocaste porque muy pronto
Caí en cuenta que yo no te conquisté
...


 ",7.0,224,EL PATROCINADOR,0,0,0,0,0,0,0,0,
272,VIRLAN GARCIA,0.0,Latin,"Como el agua clara
Lluvia en tus pestañas
O como tus labios
Besando mi cara

Yo soy ese intruso
Que aprovecha pa' observarte
Después de tu cuerpo
El alma quiero desnudarte

Labios rojo intenso
Y fuego que cien mares
Nunca apagarían
Porque eres la llave

Tienes la receta
Mi alegría y mis verdades
Que me dan la fuerza
Para despertarme

Por eso yo en ningún momento
Me alejo de ti
Por eso me gasto mi vida
En hacerte feliz

...


 ",20.0,225,LLUVIA EN TUS PESTAÑAS,0,0,0,0,0,0,0,0,
273,PABLO MONTERO,0.0,Music,"Se apagaron las luces, cambiamos de escenario
Se encendieron las velas para rezar a diario
Se doblaron rodillas y se rompieron egos
Desde la misma silla nacieron nuestros ruegos

No pensamos que un beso pudiera lastimarnos
Sin embargo, por eso, dejamos de tocarnos
El saludo de lejos, como hacen los extraños
Aplicamos parejo, para no hacernos daño

No abrazar a los viejos
Fue lo que más dolió
Y así fue que la vida de un momento a otro a todos nos cambió

Aprendimos que el tiempo
Jamás se recupera
A decirnos ""te amo""
Sin alargar la espera
A tomarnos la mano
De distinta manera
...


 ",16.0,226,APRENDIMOS,0,0,0,0,0,0,0,0,
274,BANDA SELECTIVA DE ANGEL ROMERO EL TACUACHE,,Latin / Regional Mexicano,,6.0,227,A LA ORDEN PAL DESORDEN,0,0,0,0,0,0,0,0,
275,LOS INVASORES DE NUEVO LEON,,,,23.0,228,NO PODRIA OLVIDARTE,0,0,0,0,0,0,0,0,
276,"CHRISTIAN NODAL, JUANES",0.0,,"Quedamos en nunca volver hablar
Sé que no debo molestarte
Talvez parece que estoy bien
Pero no es cierto

Me tomo un trago con mi soledad
Con el segundo voy a alucinarte
Con el tercero sé que voy a emborracharme, otra vez

Me prometí olvidarte
Y no lo pude hacer, otra vez
Las ganas de llamarte me van a romper

Por eso háblame que sin tus besos
No hay tequila que pueda olvidarme de ti
Cada trago me acuerda de ti

...


 ",47.0,229,TEQUILA,0,0,0,0,0,0,0,0,
277,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,,,,,230,ATENTAMENTE TU PAPA,0,0,0,0,0,0,0,0,
278,LOS HURACANES DEL NORTE,0.0,,"(Uyyy ayayaya mi chuy te acuerdas
Cuando anbadas en Merced todo era bien bonito)

Con dinero baila el perro
Asi me decia mi abuelo
Si no ni la cola mueve

(Uyyyy ayayaya)

Nomas se ladea el barquito
Se te acaba el dinerito
Y los desprecios te llueven

(Mi Chuy ya no hay quien nos quiera)
(No hay quien nos quiera)

Cuando andaba en buenos carros
Habia pa regalos caros
Veias todo tan perfecto

(Sin ningun defecto mi Chuy, sin ningun defecto)
...


 ",22.0,231,EL SAPO,0,0,0,0,0,0,0,0,
279,LOS 2 DE LA S,0.0,Latin / Regional Mexicano,"Este amor te sobro
Y cuando digo esto
Me estoy refiriendo
En todos los aspectos
Dime que es lo que hiciste
Con todos esos besos
Que en la boca te di
Que fue lo que faltó
Para dejarlos llenos

Y no hables en plural
La decisión de irte
Dejame aclarar que la tomaste sola
Te amaba más que nada
Y de repente me abandonas
¿De qué se trata?
Si te pensabas ir
¿Por qué diablos me enamoras?

Y no hables en plural
...


 ",18.0,232,EN PLURAL,0,0,0,0,0,0,0,0,
280,VICENTE FERNANDEZ,0.0,,"Quiere el corazón lo quieras como yo te quiero
No seas cruel no hagas más grande este sufrimiento
El para quererte solamente esta latiendo
Quiérelo tan solo un poco te lo esta pidiendo

Quiérelo tan solo un poco no te pide tanto
No te importe que me humille si eso estas pensando
Es mi corazón el que lo esta necesitando
Quiérelo tan solo un poco no le importa cuanto

Mi corazón
...


 ",24.0,233,YA NO INSISTAS CORAZON,0,0,0,0,0,0,0,0,
281,BANDA TODO TERRENO,0.0,Latin,"Corazón, mi corazón
Perdóname por haberte abandonado
No te he escuchado
Estas cansado, tan cansado
En esta guerra lo hemos dado todo
Y seguimos solos, mi corazón

Y si, yo se que te he fallado
Estas tan lastimado, no era lo planeado
...


 ",15.0,234,CORAZON,0,0,0,0,0,0,0,0,
282,DIEGO HERRERA,0.0,Latin / Regional Mexicano,"Entiendo que ya no quieres ni verme
Porque mucho dolor yo te causé
Se que te prometí ya no buscarte
Pero otra vez me tienes a tus pies

Vivir sin tus besos ya lo he intentado
Pero cada vez me sale peor
Por mas que yo he querido resignarme
No me quiere hacer caso el corazón

Y vuelve, vuelve
Con todas mis fuerzas yo te lo pido, vuelve
Me quema en los huesos y el corazón tu adiós
...


 ",17.0,235,VUELVE VUELVE,0,0,0,0,0,0,0,0,
283,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,0.0,Latin / Regional Mexicano,"Me voy pero me llevo todo lo que te ofrecí
Si un día dije que te amaba
No lo vuelvo a repetir

Las horas en la madrugada
Cuando no podías dormir
¿Quién era el que te acompañaba?
¿El que estuvo siempre ahí?

Si me lo hubieras pedido
Te juro que yo habría corrido hasta el fin del mundo
Para darte mi mano
Pero he ahí lo malo
No fui correspondido
...


 ",22.0,236,EN PELIGRO DE EXTINCIÓN,0,0,0,0,0,0,0,0,
284,ALAN PINEDA,0.0,Music,"Saben que me gusta la parranda
Y ponerme bien alegre cuando me jalo a la banda
Que pa' mí no existe horario para comenzar la peda
Pues mi vida se resume siempre en fiesta y borrachera

Le atoro macizo a mis negocios
Nunca me falta el billete me acompañan buenos socios
Son amigos distinguidos que siempre me dan pa' rriba
Las plebitas nunca faltan pa' alegrarnos esta vida
La gente que me quiere de a deberas
Comprende que la vida va que vuela
Por eso hay que gozarla mientras pueda
Para que no quede antojo sin cumplirse
El día en que me muera
...


 ",5.0,237,EN LA TUMBA PA QUE,0,0,0,0,0,0,0,0,
285,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,0.0,Latin,"Con mi dolor
Causando penas voy vagando por ahí,
No hay ni una frase de cariño para mí,
Todos me miran con desprecio y con rencor.

Mi corazón
Está cansado, tan cansado de sufrir
Que muchas veces le he escuchado repetir
Estas palabras que me llenan de dolor.

Urge
Una persona que me arrulle entre sus brazos,
A quien contarle de mis triunfos y fracasos;
...


 ",6.0,238,LA PARRANDA,0,0,0,0,0,0,0,0,
286,BRONCO,0.0,Latin / Regional Mexicano,"Por años nos conocimos, ha sido hermoso
Cada momento a tu lado vivido, amor
Cada beso, cada abrazo te lo di de corazón

Se dieron las cosas así como agua en las manos
Como una película de enamorados
Solo te diré que amarte a sido un honor

Para mí sería tan fácil dejar que el tiempo pasará así y ya
Pero prometí cuidarte y te quiero decir la verdad

Tú mereces a alguien mejor que yo
Alguien que tenga limpio el corazón
...


 ",27.0,239,ALGUIEN MEJOR QUE YO,0,0,0,0,0,0,0,0,
287,IMPACTO SINALOENSE,1.0,Latin,"No me pidas nunca que te olvide
Pues no vaya ser y en una de esas
Vaya siendo y me anime
También tengo sentimientos

Nunca encontrarás a un ser humano
Que te aprecie tanto y que te admire
De la forma en que lo hago
Cada día me estás perdiendo

Necesito que me cuiden y también que me apapachen
Y no léase que me mimen me consientan y me abracen
Soy un ser muy cariñoso siempre doy abrazos de oso
...


 ",11.0,241,SORRY,0,0,0,0,0,0,0,0,
288,ALFREDO OLIVAS,0.0,Latin / Regional Mexicano,"Yo simplemente estaba al borde
Mi corazón ya no aguantaba
Pero algo me tenía el destino
Y que pone en mi camino
El azul de su mirada

Renació el brillo en mis ojos
Poniéndome en evidencia
Se encendieron mis antojos
Y sedieron mis cerrojos
Seducidos por su esencia

Empecé a buscarle un pero
Y fue una misión fallida
...


 ",24.0,242,LA MEJOR DE LAS HISTORIAS,0,0,0,0,0,0,0,0,
289,BETO VEGA FT. LA SEPTIMA BANDA,1.0,,"En vivo Beto Vega y la séptima banda viejo
Se llama la número 20 amonos Carlitos
Que truene la bandona viejo, fierro

Deseo que te vaya mal, por que lo mereces
Aunque no yo con eso no gano intereses
Ve y chinga tu abuela y también a tu madre
Perdón señor cura si hablo obscenidades

Puse de cabeza a San Martín de porres
Porque quiero verte que sufras, que llores
Estando enojado soy cabron y medio
...


 ",21.0,243,LA NUMERO 20,0,0,0,0,0,0,0,0,
290,LA DECISIVA BANDA LOS MONTOYA,,,,8.0,244,EL COMPA ICE,,,,,,,,0,
291,LA IMPONENTE VIENTOS DE JALISCO,0.0,,"Recuerdo que me lo negaste
Las veces que te pregunte
Si estabas saliendo con alguien
Presentí que algo no andaba bien

Tú tan metida en tu mundo
Y yo siempre detrás de ti
Parece todo tan confuso
Tus ojos me dicen que te quieres ir

Que te quieres ir

Quítame esta duda que me está matando
Dime que no es cierto lo que estoy pensando
...


 ",18.0,245,QUÍTAME ESTE MIEDO,0,0,0,0,0,0,0,0,
292,CLAUDIO ALCARAZ,,Latin,,16.0,246,UN PASATIEMPO,0,0,0,0,0,0,0,0,
293,BANDA LA MISMA TIERRA,0.0,Latin / Regional Mexicano,"Ya salió el peine porque todo el mundo
Te pone las cruces
Ya que agarras confianza
Tiendes a sacar las malas costumbres

Esta soledad es la oportunidad
De acomodar mi vida
Ya no te compones y después de un engaño
Ya jamás será la misma

Desde este momento quedas
Fuera de mi vida
...


 ",16.0,247,ES MEJOR SOLO,0,0,0,0,0,0,0,0,
294,SAUL EL JAGUAR,,,,16.0,248,TU TU TU (TAN SÓLO TU),0,0,0,0,0,0,0,0,
295,LA SEPTIMA BANDA,0.0,Latin / Regional Mexicano,"Nunca terminó lo nuestro
Así lo sentí
Y así sentí que lo sentiste tú
A este amor jamás se le apagó la luz

Siempre me quedaron ganas de volver, ¿para qué lo niego?
Lo reconozco, doblé a mi ego
Y también supe que tú
Has preguntado si me enamoré de nuevo

Y nos volvimos a buscar
Porque faltaron tantos besos que no se pudieron dar
...


 ",21.0,249,NOS VOLVIMOS A BUSCAR,0,0,0,0,0,0,0,0,
296,GERARDO DIAZ Y SU GERARQUIA,0.0,,"Ahora les voy a contar de un hombre que decía que era mi amigo
Y de una mujer que creí, era el amor de mi vida

El mejor lugar, el mejor lugar
Era aquí conmigo
Pero no valoraste y tus ojos clavaste en el que era mi amigo
Mil cosas yo de ti, mil cosas yo de ti
A él le platicaba
Eras tú la perfecta, que por ti cambiaba y hasta me casaba

Pero así son las cosas
Tú a él ni le gustabas
Pero cuando alguien quiere, si ven que no puedes
Y el otro si puede solo por sentirse él, el 'todas mías'
Me dio la chapulineada

Él me causó un dolor, más de lo debido
Pues fue doble traición porque tú eras mi amor
Y él era mi amigo
...


 ",14.0,250,EL MEJOR LUGAR,0,0,0,0,0,0,0,0,
297,BRONCO,0.0,Latin / Regional Mexicano,"Quiero perderme
Extraviarme de todo este amor
Que lastima por dentro
Y dejar de soñar y borrar
Para siempre tus besos
Que no duela tratar de olvidar
Y que a donde me vaya no esté tu recuerdo

Quiero perderme
No llorar, no extrañar, no esperar
Que regreses conmigo
Y sacarte de mi corazón
Y sentir que estoy vivo
No volver a soñar que aún sigues aquí
Y vivir aunque mi corazón esté muerto

...


 ",26.0,251,QUIERO PERDERME,0,0,0,0,0,0,0,0,
298,GRUPO FIRME FT EL YAKI,0.0,,"Me duermo abrazado a tu recuerdo
Porque no me he podido acostumbrar
A estar sin la tibieza de tu cuerpo
A estar sin ti, ahora que no estás

Ya no sé dar un paso por mí mismo
Porque tú me enseñaste a caminar
A quitarme las piedras del camino
Y sin ti caí y hoy vuelvo a tropezar

Cada vez te extraño más
Y aún tengo la esperanza
De que un día volverás
Porque el amor que se va
...


 ",20.0,252,CADA VEZ TE EXTRAÑO MÁS,0,0,0,0,0,0,0,0,
299,GERARDO DIAZ Y SU GERARQUIA,,,,18.0,253,EL ALBAÑIL,0,0,0,0,0,0,0,0,
300,LOS TUCANES DE TIJUANA,0.0,Latin / Regional Mexicano,"Y arriba yo, mi apá y la Chona

Contare la historia de una famosa persona
Todos la conocen con el apodo de Chona
Todos la conocen con el apodo de Chona

Su marido dice: ""ya no sé qué hacer con ella""
Diario va a los bailes y se compra una botella
Diario va a los bailes y se compra una botella

Se arranca la banda con la primera canción
Y la Chona, luego, luego busca bailador
Y la Chona, luego, luego busca bailador

La gente la mira y le empieza gritar
Bravo, bravo, Chona, nadie te puede igualar
Bravo, bravo, Chona, nadie te puede igualar
...


 ",25.0,254,LA CHONA CHALLENGE,0,0,0,0,0,0,0,0,
301,BANDA TODO TERRENO,0.0,Country,"Parece que la vida me pago contigo
Por ti valió la pena lo que yo he sufrido
Y te quiero aquí conmigo
Para siempre, mi amor

Yo quiero que esta historia dure para siempre
Y tenerte a mi lado cuando me despierte
Quiero que seas mi presente
Que en mi futuro estés tú

Tú eres, sin lugar a dudas, lo que yo más quiero
Y siento que me brinca el pecho cuando yo te veo
...


 ",15.0,255,DESDE QUE TE CONOCÍ,0,0,0,0,0,0,0,0,
302,BANDA TODO TERRENO,1.0,Latin,"Cuando pensé que ya te había olvidado
Regresas de nuevo a moverme el piso maldito pasado
Por qué volviste, si tu nunca te fuiste
Cuando pensé que ya te había superado
De pronto apareces y con tu recuerdo me haces balanceado
Por qué volviste si tu nunca te fuiste

Cuando pensé que ya, te habías quedado atrás
Te empeñas en poner, mi mundo al revés
Y no quiero saber, ni te quiero entender
...


 ",15.0,256,POR QUE VOLVISTE,0,0,0,0,0,0,0,0,
303,LA IMPONENTE VIENTOS DE JALISCO,0.0,Latin / Regional Mexicano,"Es el turno de que pongas tus rodillas
En el piso por favor
El tiempo de arreglar esto con besos
Ya se te pasó
Es el turno de que pongas tus rodillas
En el piso por favor
El tiempo de arreglar esto con besos
Ya se te pasó
Te toca no dormir por extrañarme
Por no poder olvidarme
Tal como y lo hice yo

Desvélate
Por no poder sacarme de tu corazón
...


 ",14.0,257,DESVÉLATE,0,0,0,0,0,0,0,0,
304,LOS 2 DE LA S,,Latin / Regional Mexicano,,17.0,258,ADIVINA QUE,0,0,0,0,0,1,0,1,
